Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-07,23400.0,2024-03-14,CE,1001850,50289,1.35
2024-03-07,23400.0,2024-03-21,PE,0,0,860.75
2024-03-07,23400.0,2024-05-30,CE,0,0,305.0
2024-03-07,23400.0,2024-03-07,PE,700,48,22493.55
2024-03-07,23950.0,2024-05-30,CE,0,0,162.05
2024-03-07,23950.0,2024-03-28,PE,100,1,1369.4
2024-03-07,23400.0,2024-03-14,PE,1750,35,877.8
2024-03-07,23400.0,2024-03-28,PE,2800,32,852.65
2024-03-07,26000.0,2024-06-27,CE,153500,610,59.3
2024-03-07,19650.0,2024-04-25,CE,0,0,3020.95
2024-03-07,26000.0,2026-06-25,CE,0,0,1777.8
2024-03-07,26000.0,2026-06-25,PE,0,0,1543.4
2024-03-07,26000.0,2027-06-24,CE,0,0,2876.6
2024-03-07,19650.0,2024-03-28,CE,800,0,2919.7
2024-03-07,26000.0,2026-12-31,PE,0,0,1347.2
2024-03-07,26000.0,2028-12-28,CE,0,0,4534.15
2024-03-07,26000.0,2027-12-30,PE,0,0,1050.25
2024-03-07,26000.0,2024-03-28,PE,42150,457,3406.15
2024-03-07,26000.0,2026-12-31,CE,0,0,2346.15
2024-03-07,26000.0,2024-12-26,PE,4050,22,2466.05
2024-03-07,19650.0,2024-04-25,PE,0,0,0.15
2024-03-07,19650.0,2024-03-28,PE,1400,0,0.05
2024-03-07,23300.0,2024-04-25,CE,26550,381,180.25
2024-03-07,23300.0,2024-04-25,PE,12800,207,769.9
2024-03-07,23300.0,2024-03-28,PE,3650,17,780.0
2024-03-07,23300.0,2024-04-04,PE,0,0,766.15
2024-03-07,23300.0,2024-03-21,CE,138800,6144,9.65
2024-03-07,23300.0,2024-05-30,PE,0,0,786.2
2024-03-07,23300.0,2024-03-28,CE,618700,22935,31.85
2024-03-07,23300.0,2024-03-07,CE,1334050,201260,22493.55
2024-03-07,23300.0,2024-03-07,PE,3150,77,22493.55
2024-03-07,21400.0,2024-04-25,PE,92750,797,80.7
2024-03-07,21400.0,2024-03-28,PE,725200,19467,21.95
2024-03-07,21400.0,2024-04-04,CE,100,0,1220.55
2024-03-07,21400.0,2024-04-25,CE,450,0,1330.2
2024-03-07,21400.0,2024-04-04,PE,9600,228,37.7
2024-03-07,21400.0,2024-03-14,CE,28800,246,1090.8
2024-03-07,21400.0,2024-03-14,PE,706450,65195,2.85
2024-03-07,21400.0,2024-03-21,PE,66500,1918,8.95
2024-03-07,21400.0,2024-05-30,PE,0,0,85.85
2024-03-07,21400.0,2024-03-28,CE,58200,62,1172.3
2024-03-07,21400.0,2024-03-07,PE,1584450,292222,22493.55
2024-03-07,21400.0,2024-03-07,CE,42050,1519,22493.55
2024-03-07,23400.0,2024-03-07,CE,783650,142229,22493.55
2024-03-07,23400.0,2024-04-25,CE,24400,145,152.05
2024-03-07,23950.0,2024-04-04,CE,5200,123,13.3
2024-03-07,23400.0,2024-03-21,CE,140450,4841,6.1
2024-03-07,23400.0,2024-04-25,PE,3850,21,847.55
2024-03-07,21950.0,2024-04-25,PE,5450,35,175.7
2024-03-07,21950.0,2024-03-07,CE,162150,1265,22493.55
2024-03-07,22350.0,2024-03-07,CE,581600,638988,22493.55
2024-03-07,21950.0,2024-03-14,CE,19550,197,554.45
2024-03-07,23650.0,2024-04-04,CE,1050,3,26.1
2024-03-07,23650.0,2024-03-07,PE,0,0,22493.55
2024-03-07,23650.0,2024-04-25,CE,2250,52,95.35
2024-03-07,23650.0,2024-05-30,CE,0,0,231.35
2024-03-07,25000.0,2024-09-26,PE,0,0,1866.75
2024-03-07,25000.0,2024-12-26,CE,204900,381,588.85
2024-03-07,25000.0,2028-12-28,PE,0,0,631.15
2024-03-07,25000.0,2028-06-29,CE,0,0,4517.6
2024-03-07,25000.0,2027-06-24,PE,0,0,894.95
2024-03-07,25000.0,2025-12-24,CE,0,0,1646.5
2024-03-07,25000.0,2027-12-30,PE,0,0,792.95
2024-03-07,25000.0,2027-12-30,CE,0,0,3964.05
2024-03-07,25000.0,2024-03-28,PE,386450,898,2418.75
2024-03-07,25000.0,2024-06-27,CE,361500,2000,143.05
2024-03-07,25000.0,2027-06-24,CE,0,0,3378.8
2024-03-07,25000.0,2028-06-29,PE,0,0,706.95
2024-03-07,25000.0,2028-12-28,CE,0,0,5060.2
2024-03-07,25000.0,2026-06-25,PE,0,0,1138.5
2024-03-07,23700.0,2024-03-28,PE,0,0,1128.75
2024-03-07,23700.0,2024-03-28,CE,472600,14795,8.15
2024-03-07,23700.0,2024-05-30,CE,200,0,218.45
2024-03-07,23700.0,2024-03-14,CE,568950,30493,0.9
2024-03-07,23700.0,2024-03-14,PE,200,8,1198.5
2024-03-07,23700.0,2024-04-25,CE,79400,499,87.6
2024-03-07,23700.0,2024-05-30,PE,0,0,1059.55
2024-03-07,21500.0,2024-03-28,CE,525650,731,1075.45
2024-03-07,23750.0,2024-03-14,CE,63800,3220,0.85
2024-03-07,21050.0,2024-03-21,PE,1000,12,5.9
2024-03-07,21050.0,2024-05-30,PE,0,0,47.4
2024-03-07,21050.0,2024-03-14,CE,250,1,1470.8
2024-03-07,21050.0,2024-04-04,CE,0,0,1556.95
2024-03-07,21050.0,2024-04-25,PE,0,0,18.75
2024-03-07,21050.0,2024-03-14,PE,314650,16621,2.1
2024-03-07,21050.0,2024-04-25,CE,0,0,1652.2
2024-03-07,21050.0,2024-03-28,PE,52250,2017,12.3
2024-03-07,21050.0,2024-05-30,CE,0,0,1815.4
2024-03-07,21050.0,2024-04-04,PE,0,0,4.7
2024-03-07,23600.0,2024-04-04,CE,4550,36,27.0
2024-03-07,23600.0,2024-03-21,CE,26350,657,3.55
2024-03-07,23600.0,2024-03-14,CE,720850,41569,1.0
2024-03-07,23600.0,2024-03-21,PE,0,0,1051.65
2024-03-07,23600.0,2024-04-04,PE,0,0,1023.1
2024-03-07,23600.0,2024-03-28,CE,372600,10111,10.75
2024-03-07,22550.0,2024-03-14,CE,1079200,153474,102.25
2024-03-07,22550.0,2024-03-28,CE,108900,4642,258.9
2024-03-07,22800.0,2024-04-25,CE,63950,723,375.45
2024-03-07,22550.0,2024-04-04,CE,204150,19,344.1
2024-03-07,22800.0,2024-03-21,CE,196400,8357,80.35
2024-03-07,22800.0,2024-03-14,PE,191300,15840,327.0
2024-03-07,22800.0,2024-04-04,CE,6100,8,218.8
2024-03-07,22800.0,2024-05-30,PE,150,2,661.3
2024-03-07,22550.0,2024-05-30,PE,700,5,391.55
2024-03-07,22550.0,2024-03-28,PE,59100,6378,256.35
2024-03-07,26000.0,2025-06-26,PE,0,0,2054.75
2024-03-07,26000.0,2025-12-24,CE,0,0,1240.95
2024-03-07,26000.0,2028-06-29,PE,0,0,931.4
2024-03-07,26000.0,2027-12-30,CE,0,0,3448.5
2024-03-07,26000.0,2028-12-28,PE,0,0,827.7
2024-03-07,26000.0,2024-06-27,PE,0,0,2995.05
2024-03-07,26000.0,2024-03-28,CE,157900,1304,3.0
2024-03-07,26000.0,2024-09-26,CE,12050,18,128.35
2024-03-07,26000.0,2024-09-26,PE,0,0,2676.8
2024-03-07,26000.0,2024-12-26,CE,110100,180,328.5
2024-03-07,26000.0,2025-06-26,CE,0,0,739.15
2024-03-07,26000.0,2025-12-24,PE,0,0,1772.75
2024-03-07,26000.0,2028-06-29,CE,0,0,3994.7
2024-03-07,26000.0,2027-06-24,PE,0,0,1193.15
