Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-04-02,24150.0,2024-04-25,PE,100,4,1517.4
2024-04-02,24150.0,2024-04-04,PE,0,0,1687.15
2024-04-02,24150.0,2024-06-27,PE,0,0,1481.75
2024-04-02,24150.0,2024-04-04,CE,296750,6194,0.6
2024-04-02,21100.0,2024-04-10,CE,50,1,1387.0
2024-04-02,21100.0,2024-04-18,PE,5400,252,5.4
2024-04-02,21100.0,2024-05-02,CE,0,0,1498.05
2024-04-02,21100.0,2024-06-27,PE,5450,124,120.0
2024-04-02,21100.0,2024-06-27,CE,0,0,1816.55
2024-04-02,21950.0,2024-04-25,PE,82550,2581,68.45
2024-04-02,22350.0,2024-04-10,PE,143100,18601,89.05
2024-04-02,22350.0,2024-05-02,CE,0,0,501.55
2024-04-02,22350.0,2024-04-18,PE,7250,282,133.45
2024-04-02,22350.0,2024-06-27,PE,1150,20,388.45
2024-04-02,21950.0,2024-04-04,PE,1686250,392436,3.4
2024-04-02,22350.0,2024-04-04,PE,2256550,1107619,43.3
2024-04-02,22350.0,2024-04-04,CE,802900,430910,149.85
2024-04-02,21950.0,2024-04-25,CE,7400,16,710.35
2024-04-02,21950.0,2024-05-30,PE,1750,31,218.4
2024-04-02,21950.0,2024-04-18,CE,1350,2,647.5
2024-04-02,22350.0,2024-04-10,CE,53850,5460,247.85
2024-04-02,22350.0,2024-04-18,CE,3300,89,325.35
2024-04-02,21950.0,2024-04-18,PE,10700,293,45.5
2024-04-02,22350.0,2024-04-25,CE,53700,1683,386.9
2024-04-02,22350.0,2024-05-02,PE,350,7,188.9
2024-04-02,21950.0,2024-05-02,CE,50,0,768.8
2024-04-02,21950.0,2024-06-27,CE,550,7,1158.1
2024-04-02,22400.0,2024-04-10,PE,833850,90415,106.05
2024-04-02,22400.0,2024-05-30,CE,35150,523,586.15
2024-04-02,22400.0,2024-04-10,CE,417500,48550,214.3
2024-04-02,22400.0,2024-06-27,PE,21200,656,400.7
2024-04-02,21350.0,2024-04-25,CE,1100,0,1223.75
2024-04-02,21350.0,2024-04-10,PE,66600,3030,3.55
2024-04-02,21350.0,2024-05-02,CE,0,0,1267.35
2024-04-02,21350.0,2024-05-30,PE,5200,9,92.05
2024-04-02,21350.0,2024-05-30,CE,0,0,1444.25
2024-04-02,21350.0,2024-04-04,CE,250,1,1111.8
2024-04-02,21300.0,2024-04-04,CE,6500,369,1156.8
2024-04-02,21300.0,2024-04-10,PE,157450,7075,3.3
2024-04-02,21300.0,2024-04-25,CE,29000,128,1283.25
2024-04-02,21300.0,2024-06-27,CE,0,0,1650.1
2024-04-02,21300.0,2024-05-30,CE,50,0,1486.55
2024-04-02,21300.0,2024-04-25,PE,789400,11252,15.1
2024-04-02,21300.0,2024-04-04,PE,1803300,138089,0.6
2024-04-02,21300.0,2024-04-10,CE,5450,107,1207.0
2024-04-02,21300.0,2024-05-30,PE,142100,1548,57.2
2024-04-02,22250.0,2024-05-02,CE,200,0,562.45
2024-04-02,22250.0,2024-04-18,CE,3550,14,429.9
2024-04-02,22250.0,2024-04-25,PE,93300,2538,131.8
2024-04-02,23000.0,2024-05-30,CE,527550,5676,260.8
2024-04-02,23550.0,2024-05-30,PE,0,0,1038.55
2024-04-02,23000.0,2025-03-27,CE,0,0,1863.2
2024-04-02,24250.0,2024-05-30,PE,0,0,1602.1
2024-04-02,20550.0,2024-04-25,CE,0,0,1998.2
2024-04-02,20550.0,2024-05-02,PE,0,0,3.65
2024-04-02,20550.0,2024-05-30,CE,0,0,2164.1
2024-04-02,20550.0,2024-04-25,PE,8500,181,6.55
2024-04-02,20550.0,2024-04-04,PE,111900,3337,0.35
2024-04-02,20550.0,2024-04-10,CE,1900,0,1935.9
2024-04-02,20550.0,2024-04-18,PE,0,0,0.25
2024-04-02,20550.0,2024-05-02,CE,0,0,2028.85
2024-04-02,24250.0,2024-04-04,CE,849050,19770,0.55
2024-04-02,24250.0,2024-04-04,PE,0,0,1787.1
2024-04-02,24250.0,2024-04-25,CE,155050,1684,4.75
2024-04-02,24250.0,2024-04-10,CE,83250,1844,1.55
2024-04-02,20550.0,2024-04-18,CE,0,0,1968.7
2024-04-02,24250.0,2024-04-25,PE,550,2,1646.4
2024-04-02,13000.0,2026-06-25,PE,200,0,0.5
2024-04-02,23650.0,2024-04-10,CE,7700,487,2.1
2024-04-02,23650.0,2024-06-27,CE,50,0,324.5
2024-04-02,23650.0,2024-05-30,PE,0,0,1113.3
2024-04-02,13000.0,2026-12-31,PE,200,0,1.0
2024-04-02,13000.0,2025-12-24,PE,150,0,0.2
2024-04-02,23650.0,2024-04-18,CE,2500,31,4.8
2024-04-02,23650.0,2024-05-02,CE,100,0,65.65
2024-04-02,23650.0,2024-04-10,PE,100,4,1160.85
2024-04-02,23650.0,2024-05-02,PE,0,0,1122.05
2024-04-02,23650.0,2024-04-04,PE,0,0,1187.35
2024-04-02,23650.0,2024-04-04,CE,297550,28917,0.8
2024-04-02,16000.0,2028-12-28,CE,0,0,11204.6
2024-04-02,16000.0,2024-06-27,PE,56000,54,0.0
2024-04-02,16000.0,2025-06-26,PE,100,0,3.55
2024-04-02,16000.0,2024-09-26,PE,0,0,0.05
2024-04-02,16000.0,2027-12-30,PE,0,0,23.65
2024-04-02,16000.0,2027-06-24,PE,0,0,21.0
2024-04-02,16000.0,2027-06-24,CE,0,0,9865.35
2024-04-02,16000.0,2026-06-25,CE,0,0,8894.6
2024-04-02,16000.0,2024-12-26,PE,17050,0,0.55
2024-04-02,16000.0,2028-12-28,PE,0,0,26.4
2024-04-02,22450.0,2024-04-04,PE,3397100,2081891,82.5
2024-04-02,22300.0,2024-05-30,CE,25100,98,657.75
2024-04-02,22450.0,2024-06-27,PE,2050,42,451.15
2024-04-02,22450.0,2024-04-18,PE,16550,596,168.25
2024-04-02,22300.0,2024-06-27,CE,1100,8,930.25
2024-04-02,22300.0,2024-04-25,CE,664350,7882,420.75
2024-04-02,22300.0,2024-06-27,PE,5050,60,372.7
2024-04-02,22450.0,2024-05-30,PE,5450,68,281.5
2024-04-02,22300.0,2024-05-02,PE,2800,35,173.5
2024-04-02,19850.0,2024-04-25,CE,1850,0,2693.7
2024-04-02,22100.0,2024-05-02,CE,100,1,661.25
2024-04-02,22100.0,2024-04-18,CE,9000,49,510.0
2024-04-02,22100.0,2024-05-30,CE,20350,57,800.05
2024-04-02,22100.0,2024-04-04,CE,1514350,14056,363.85
2024-04-02,22100.0,2024-04-18,PE,30650,1084,67.6
2024-04-02,22100.0,2024-04-10,CE,74150,1291,442.3
2024-04-02,21050.0,2024-05-30,PE,550,3,55.55
2024-04-02,21050.0,2024-04-10,PE,9700,902,2.45
2024-04-02,21050.0,2024-04-04,CE,3750,0,1411.65
2024-04-02,21050.0,2024-04-25,PE,17400,455,9.7
2024-04-02,21050.0,2024-04-25,CE,950,0,1508.15
2024-04-02,21050.0,2024-05-30,CE,0,0,1704.25
2024-04-02,21050.0,2024-05-02,PE,50,0,17.05
2024-04-02,21050.0,2024-04-04,PE,100400,25679,0.5
2024-04-02,21050.0,2024-04-18,CE,0,0,1473.05
