Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-30,21400.0,2024-04-25,CE,0,0,781.15
2024-01-30,21400.0,2024-02-08,CE,249600,7463,356.95
2024-01-30,21400.0,2024-02-15,PE,18900,1388,229.4
2024-01-30,19900.0,2024-02-01,PE,278700,52767,0.85
2024-01-30,19900.0,2024-04-25,PE,0,0,33.4
2024-01-30,19900.0,2024-02-08,PE,55350,2564,4.85
2024-01-30,19900.0,2024-04-25,CE,0,0,1969.5
2024-01-30,19900.0,2024-02-15,PE,0,0,0.15
2024-01-30,19900.0,2024-02-22,CE,0,0,1707.5
2024-01-30,19750.0,2024-02-22,CE,0,0,1856.35
2024-01-30,19750.0,2024-02-15,CE,0,0,1830.5
2024-01-30,19750.0,2024-02-01,PE,142500,14362,0.7
2024-01-30,21250.0,2024-04-25,CE,0,0,876.8
2024-01-30,21250.0,2024-02-15,PE,2600,115,178.95
2024-01-30,21250.0,2024-03-28,CE,1450,1,721.05
2024-01-30,21250.0,2024-02-29,PE,98400,2032,230.35
2024-01-30,21250.0,2024-02-08,PE,67100,9890,136.5
2024-01-30,23650.0,2024-02-08,PE,250,0,2088.55
2024-01-30,23650.0,2024-03-28,CE,4350,247,46.35
2024-01-30,13000.0,2026-06-25,PE,200,0,0.25
2024-01-30,23650.0,2024-02-01,CE,98550,8842,1.25
2024-01-30,23650.0,2024-03-28,PE,0,0,1898.05
2024-01-30,23650.0,2024-02-01,PE,0,0,2119.15
2024-01-30,23650.0,2024-02-15,CE,1750,1,3.55
2024-01-30,13000.0,2026-12-31,PE,200,0,0.5
2024-01-30,13000.0,2025-12-24,PE,150,0,0.1
2024-01-30,23650.0,2024-02-29,PE,0,0,1998.9
2024-01-30,18650.0,2024-02-29,CE,33100,3,2975.0
2024-01-30,22250.0,2024-02-15,CE,15850,493,84.3
2024-01-30,22250.0,2024-02-01,PE,7000,673,709.35
2024-01-30,22250.0,2024-02-29,CE,73450,2285,140.55
2024-01-30,22250.0,2024-04-25,PE,0,0,739.0
2024-01-30,22250.0,2024-02-22,CE,350,7,113.05
2024-01-30,22250.0,2024-02-29,PE,35100,150,752.25
2024-01-30,23000.0,2024-04-25,CE,28050,708,200.45
2024-01-30,23000.0,2026-12-31,PE,6100,0,720.9
2024-01-30,23000.0,2024-02-01,PE,12700,102,1447.65
2024-01-30,23000.0,2028-12-28,CE,0,0,5494.65
2024-01-30,23000.0,2027-12-30,PE,0,0,587.2
2024-01-30,23000.0,2024-02-15,PE,700,0,1411.5
2024-01-30,23000.0,2024-04-25,PE,0,0,1269.8
2024-01-30,23550.0,2024-03-28,PE,0,0,1804.05
2024-01-30,23000.0,2025-06-26,CE,0,0,1587.55
2024-01-30,23550.0,2024-02-15,CE,0,0,0.05
2024-01-30,23000.0,2024-02-29,CE,3353800,46111,39.75
2024-01-30,23000.0,2024-12-26,CE,152600,207,1073.7
2024-01-30,23000.0,2024-12-26,PE,106050,275,1267.6
2024-01-30,23000.0,2024-02-15,CE,47650,1358,17.75
2024-01-30,23000.0,2024-02-22,PE,0,0,1386.8
2024-01-30,23000.0,2024-02-08,PE,3400,17,1439.7
2024-01-30,23000.0,2024-02-22,CE,11650,423,27.1
2024-01-30,21500.0,2024-03-28,CE,171200,1596,660.85
2024-01-30,21500.0,2024-02-08,CE,393450,25265,299.35
2024-01-30,21700.0,2024-02-22,CE,12950,432,303.35
2024-01-30,21700.0,2024-02-29,PE,1103850,72754,415.25
2024-01-30,26000.0,2028-06-29,PE,0,0,1215.35
2024-01-30,21700.0,2024-02-08,PE,363250,71060,325.05
2024-01-30,21700.0,2024-02-01,PE,1599250,2429284,238.2
2024-01-30,21700.0,2024-04-25,PE,500,14,535.9
2024-01-30,23200.0,2024-02-15,PE,0,0,1609.9
2024-01-30,23200.0,2024-04-25,CE,0,0,119.95
2024-01-30,23200.0,2024-02-08,PE,0,0,1639.35
2024-01-30,23200.0,2024-02-01,CE,417050,73296,1.5
