Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-10,19750.0,2024-01-11,PE,83900,4414,0.45
2024-01-10,19750.0,2024-02-01,PE,0,0,0.15
2024-01-10,20200.0,2024-02-29,CE,1450,0,1621.45
2024-01-10,20200.0,2024-02-08,PE,0,0,4.25
2024-01-10,20200.0,2024-01-11,CE,6250,20,1422.45
2024-01-10,19650.0,2024-01-18,PE,59350,3837,1.6
2024-01-10,26000.0,2024-06-27,CE,11700,13,59.0
2024-01-10,26000.0,2026-06-25,CE,0,0,1466.5
2024-01-10,26000.0,2026-06-25,PE,0,0,1873.55
2024-01-10,26000.0,2027-06-24,CE,0,0,2461.7
2024-01-10,26000.0,2026-12-31,PE,0,0,1627.2
2024-01-10,26000.0,2028-12-28,CE,0,0,4012.3
2024-01-10,19800.0,2024-02-01,CE,0,0,1899.25
2024-01-10,19800.0,2024-02-08,CE,0,0,1925.35
2024-01-10,19800.0,2024-02-01,PE,0,0,0.2
2024-01-10,22550.0,2024-03-28,CE,300,2,247.45
2024-01-10,18700.0,2024-01-25,PE,101450,1948,3.75
2024-01-10,22550.0,2024-01-25,CE,110200,7278,14.35
2024-01-10,22550.0,2024-02-01,CE,4050,39,36.35
2024-01-10,22800.0,2024-01-18,CE,137550,5027,1.85
2024-01-10,18550.0,2024-01-25,CE,0,0,3120.1
2024-01-10,20350.0,2024-02-08,PE,0,0,7.65
2024-01-10,21700.0,2024-01-18,CE,1458950,218946,137.95
2024-01-10,21700.0,2024-02-29,PE,119100,2080,333.2
2024-01-10,21700.0,2024-02-08,PE,1900,44,279.2
2024-01-10,21700.0,2024-02-01,PE,39400,221,254.4
2024-01-10,21700.0,2024-01-18,PE,846500,83799,157.05
2024-01-10,19500.0,2024-02-29,PE,376900,1075,16.2
2024-01-10,19500.0,2025-12-24,CE,1250,0,4656.45
2024-01-10,21100.0,2024-02-08,CE,0,0,710.3
2024-01-10,21100.0,2024-01-11,CE,47300,3226,560.7
2024-01-10,21100.0,2024-01-25,PE,1084300,32996,46.75
2024-01-10,21100.0,2024-03-28,PE,12950,121,227.5
2024-01-10,21100.0,2024-01-18,CE,42550,1038,597.8
2024-01-10,21100.0,2024-02-01,PE,17250,124,83.55
2024-01-10,22350.0,2024-01-11,CE,926650,120465,0.3
2024-01-10,22350.0,2024-01-25,CE,127000,6329,27.95
2024-01-10,22350.0,2024-02-01,CE,3650,24,57.35
2024-01-10,21950.0,2024-02-08,PE,0,0,417.05
2024-01-10,22350.0,2024-03-28,PE,200,2,723.6
2024-01-10,21950.0,2024-01-25,PE,44600,978,351.85
2024-01-10,22350.0,2024-02-08,CE,0,0,88.75
2024-01-10,21950.0,2024-01-11,PE,112750,2574,294.15
2024-01-10,22350.0,2024-02-29,CE,5850,74,183.8
2024-01-10,21950.0,2024-02-01,CE,2950,14,184.15
2024-01-10,21950.0,2024-03-28,PE,3650,97,512.35
2024-01-10,21950.0,2024-02-29,PE,7600,9,440.95
2024-01-10,22350.0,2024-01-11,PE,7500,7,688.6
2024-01-10,21950.0,2024-03-28,CE,1250,7,548.65
2024-01-10,22350.0,2024-02-08,PE,0,0,700.5
2024-01-10,21950.0,2024-01-18,CE,337750,42153,47.95
2024-01-10,21950.0,2024-02-01,PE,150,0,398.55
2024-01-10,21350.0,2024-01-18,CE,15150,2783,371.8
2024-01-10,21350.0,2024-01-25,CE,64700,1284,446.3
2024-01-10,21350.0,2024-01-25,PE,148250,7098,90.15
2024-01-10,21350.0,2024-03-28,PE,300,3,246.25
2024-01-10,21350.0,2024-01-18,PE,359900,57855,42.6
2024-01-10,20250.0,2024-02-08,PE,0,0,5.2
2024-01-10,20250.0,2024-03-28,PE,100,0,41.45
2024-01-10,20250.0,2024-01-18,PE,13850,339,2.15
2024-01-10,20250.0,2024-01-11,PE,127750,46523,0.5
2024-01-10,20250.0,2024-01-25,CE,17050,0,1425.25
2024-01-10,20250.0,2024-02-29,CE,200,0,1574.3
2024-01-10,20250.0,2024-02-08,CE,0,0,1482.2
2024-01-10,20950.0,2024-02-29,PE,5500,40,118.9
2024-01-10,20950.0,2024-02-29,CE,750,2,957.4
2024-01-10,22600.0,2024-01-18,PE,450,9,949.05
2024-01-10,22600.0,2024-01-18,CE,439050,13810,2.45
2024-01-10,23250.0,2024-01-25,PE,50,0,1567.3
2024-01-10,22600.0,2024-02-01,CE,22650,219,32.3
2024-01-10,23250.0,2024-01-18,PE,0,0,1596.95
2024-01-10,22600.0,2024-01-11,CE,1599650,310149,0.3
2024-01-10,23250.0,2024-02-08,PE,0,0,1514.2
2024-01-10,23250.0,2024-03-28,CE,1300,54,106.65
2024-01-10,20150.0,2024-01-11,PE,51050,25622,0.45
2024-01-10,23250.0,2024-03-28,PE,100,0,1396.2
2024-01-10,20150.0,2024-01-25,PE,31650,1726,7.25
2024-01-10,23250.0,2024-02-29,PE,150,0,1453.7
2024-01-10,17850.0,2024-01-25,CE,150,0,3818.15
2024-01-10,17850.0,2024-01-25,PE,850,0,0.05
2024-01-10,21050.0,2024-02-29,PE,6050,35,142.0
2024-01-10,21050.0,2024-02-08,CE,0,0,750.6
2024-01-10,21050.0,2024-01-11,PE,1550750,871420,1.45
2024-01-10,21050.0,2024-01-11,CE,3700,794,605.85
2024-01-10,19800.0,2024-01-11,CE,4550,3,1822.35
2024-01-10,19800.0,2024-02-29,PE,248600,502,22.1
2024-01-10,19800.0,2024-02-08,PE,0,0,0.7
2024-01-10,22550.0,2024-03-28,PE,50,1,855.8
2024-01-10,18700.0,2024-01-25,CE,4400,0,2970.5
2024-01-10,22800.0,2024-02-29,PE,3850,0,1058.8
2024-01-10,22800.0,2024-02-08,CE,850,26,35.0
2024-01-10,22800.0,2024-01-25,PE,13150,8,1095.35
2024-01-10,22550.0,2024-02-29,CE,11300,75,134.8
2024-01-10,22800.0,2024-02-08,PE,0,0,1087.8
2024-01-10,22550.0,2024-01-11,CE,545650,73198,0.3
2024-01-10,21900.0,2024-02-29,PE,51850,641,425.4
2024-01-10,21900.0,2024-02-08,PE,0,0,386.9
2024-01-10,14000.0,2025-06-26,PE,675,0,0.1
2024-01-10,14000.0,2024-06-27,PE,7275,0,0.05
2024-01-10,14000.0,2024-03-28,CE,324600,1,7698.35
2024-01-10,14000.0,2024-12-26,PE,3300,0,0.05
2024-01-10,14000.0,2026-06-25,PE,100,0,0.7
2024-01-10,23450.0,2024-01-11,PE,150,2,1826.95
2024-01-10,23450.0,2024-02-08,CE,750,6,8.0
2024-01-10,21400.0,2024-02-29,CE,26600,288,670.95
2024-01-10,21400.0,2024-03-28,PE,9350,111,313.1
2024-01-10,21400.0,2024-02-01,CE,12050,213,495.4
2024-01-10,21400.0,2024-02-29,PE,85300,2331,228.75
2024-01-10,21400.0,2024-02-08,PE,2100,86,157.15
2024-01-10,21400.0,2024-02-01,PE,21900,1151,146.2
2024-01-10,21400.0,2024-01-11,PE,7407650,4946076,6.85
2024-01-10,21400.0,2024-01-18,CE,354850,33493,329.6
2024-01-10,21400.0,2024-02-08,CE,100,3,490.3
2024-01-10,21400.0,2024-01-25,PE,1789700,52259,103.0
2024-01-10,21400.0,2024-01-11,CE,507650,879753,263.35
2024-01-10,19900.0,2024-02-01,PE,0,0,0.35
2024-01-10,19900.0,2024-01-11,CE,10000,8,1722.4
2024-01-10,19900.0,2024-02-08,PE,0,0,1.15
2024-01-10,21300.0,2024-02-01,PE,67700,1323,120.7
2024-01-10,21300.0,2024-01-11,CE,362250,150555,357.4
2024-01-10,21300.0,2024-01-25,CE,362350,7525,487.85
2024-01-10,21300.0,2024-01-11,PE,5157300,3344734,3.5
2024-01-10,21300.0,2024-01-18,PE,1070450,129649,35.8
2024-01-10,21300.0,2024-02-01,CE,30750,891,573.9
2024-01-10,21300.0,2024-02-08,PE,2500,43,152.8
2024-01-10,21300.0,2024-02-08,CE,50,0,559.15
2024-01-10,21300.0,2024-01-25,PE,1693050,53886,80.1
2024-01-10,19750.0,2024-01-18,CE,0,0,1897.9
2024-01-10,19750.0,2024-01-25,PE,28050,699,4.7
2024-01-10,18200.0,2024-01-25,PE,37500,3,2.5
2024-01-10,18200.0,2024-01-25,CE,13850,0,3469.1
2024-01-10,21150.0,2024-01-11,PE,3970850,1966014,1.85
2024-01-10,21150.0,2024-03-28,PE,750,6,187.65
2024-01-10,21150.0,2024-01-11,CE,14500,1775,511.0
2024-01-10,21150.0,2024-02-01,PE,5500,4,68.05
2024-01-10,21150.0,2024-02-29,PE,6950,89,164.45
2024-01-10,21150.0,2024-02-01,CE,50,0,622.6
2024-01-10,21150.0,2024-01-25,CE,45350,421,609.75
2024-01-10,20200.0,2024-03-28,CE,0,0,1745.55
2024-01-10,20200.0,2024-01-18,CE,100,1,1448.55
2024-01-10,20200.0,2024-03-28,PE,49900,256,79.7
2024-01-10,20200.0,2024-01-25,PE,484850,11037,8.05
