Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-15,23400.0,2024-03-21,PE,350,0,1350.7
2024-03-15,23400.0,2024-05-30,CE,0,0,144.05
2024-03-15,20300.0,2024-04-10,PE,0,0,0.9
2024-03-15,20300.0,2024-04-04,PE,0,0,0.25
2024-03-15,20300.0,2024-05-30,CE,0,0,2028.05
2024-03-15,20300.0,2024-03-21,CE,350,2,1745.85
2024-03-15,20300.0,2024-04-25,CE,0,0,1881.4
2024-03-15,20300.0,2024-04-10,CE,0,0,1821.65
2024-03-15,20300.0,2024-04-04,CE,0,0,1798.55
2024-03-15,20650.0,2024-04-04,CE,0,0,1451.45
2024-03-15,20650.0,2024-04-25,PE,5000,0,14.3
2024-03-15,20650.0,2024-03-21,CE,500,0,1396.25
2024-03-15,19000.0,2024-12-26,CE,77650,9,4184.5
2024-03-15,19000.0,2028-12-28,PE,0,0,75.15
2024-03-15,19000.0,2024-09-26,CE,0,0,3709.9
2024-03-15,19000.0,2027-12-30,PE,700,0,81.15
2024-03-15,19000.0,2025-12-24,CE,3150,0,5239.95
2024-03-15,19000.0,2027-12-30,CE,0,0,7397.7
2024-03-15,19000.0,2025-06-26,PE,600000,0,52.0
2024-03-15,19000.0,2028-06-29,CE,0,0,7881.9
2024-03-15,19000.0,2027-06-24,CE,100,0,6875.75
2024-03-15,19000.0,2028-06-29,PE,0,0,78.6
2024-03-15,19000.0,2028-12-28,CE,0,0,8349.15
2024-03-15,19000.0,2024-06-27,CE,210100,626,3454.15
2024-03-15,19000.0,2024-03-28,PE,1167650,3344,2.0
2024-03-15,19000.0,2024-06-27,PE,761800,2040,46.45
2024-03-15,19000.0,2026-06-25,PE,100,0,76.9
2024-03-15,19000.0,2027-06-24,PE,250,0,82.3
2024-03-15,23400.0,2024-04-18,PE,0,0,1257.95
2024-03-15,23400.0,2024-04-10,PE,0,0,1277.95
2024-03-15,20650.0,2024-03-28,CE,1400,9,1423.2
2024-03-15,20650.0,2024-04-10,CE,0,0,1476.8
2024-03-15,24250.0,2024-05-30,PE,0,0,1928.95
2024-03-15,20550.0,2024-04-25,CE,0,0,1639.15
2024-03-15,20550.0,2024-05-30,CE,0,0,1796.1
2024-03-15,20550.0,2024-04-25,PE,4750,46,30.5
2024-03-15,24250.0,2024-03-21,PE,0,0,2199.75
2024-03-15,24250.0,2024-03-28,PE,0,0,2168.4
2024-03-15,20550.0,2024-04-04,PE,0,0,1.1
2024-03-15,20550.0,2024-04-10,CE,0,0,1574.8
2024-03-15,20550.0,2024-04-18,PE,0,0,6.55
2024-03-15,24250.0,2024-04-04,CE,250,15,2.75
2024-03-15,24250.0,2024-04-04,PE,0,0,2137.25
2024-03-15,20550.0,2024-03-28,PE,17700,892,4.8
2024-03-15,20550.0,2024-03-21,PE,77450,44814,1.05
2024-03-15,20550.0,2024-03-21,CE,5250,0,1496.15
2024-03-15,24250.0,2024-04-25,CE,16400,323,17.3
2024-03-15,24250.0,2024-04-10,CE,2200,40,5.15
2024-03-15,20550.0,2024-04-18,CE,0,0,1608.7
2024-03-15,20350.0,2024-03-21,PE,69750,31514,0.8
2024-03-15,22650.0,2024-03-28,CE,219550,18270,40.45
2024-03-15,22650.0,2024-04-25,PE,8800,123,585.7
2024-03-15,22650.0,2024-04-04,PE,503500,7,614.05
