Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-18,22050.0,2024-04-18,PE,950,40,252.1
2024-03-18,26000.0,2024-06-27,CE,176450,372,39.7
2024-03-18,19650.0,2024-04-25,CE,0,0,2543.55
2024-03-18,26000.0,2026-06-25,CE,0,0,1511.95
2024-03-18,26000.0,2027-06-24,CE,0,0,2555.7
2024-03-18,19650.0,2024-03-28,CE,800,0,2442.0
2024-03-18,26000.0,2026-12-31,PE,0,0,1531.35
2024-03-18,26000.0,2028-12-28,CE,0,0,4162.4
2024-03-18,26000.0,2027-12-30,PE,0,0,1187.45
2024-03-18,26000.0,2024-03-28,PE,48450,71,3841.05
2024-03-18,26000.0,2026-12-31,CE,0,0,2048.65
2024-03-18,26000.0,2024-12-26,PE,4400,1,2813.25
2024-03-18,19650.0,2024-04-25,PE,0,0,0.2
2024-03-18,21200.0,2024-05-30,CE,50,0,1244.35
2024-03-18,19650.0,2024-03-28,PE,2900,32,1.75
2024-03-18,23400.0,2024-03-21,PE,350,0,1331.3
2024-03-18,23400.0,2024-05-30,CE,1750,40,183.65
2024-03-18,22800.0,2024-04-25,CE,135550,3505,171.95
2024-03-18,22550.0,2024-04-04,CE,214900,640,105.75
2024-03-18,22800.0,2024-03-21,CE,4830600,640382,1.4
2024-03-18,22550.0,2024-04-10,CE,0,0,119.05
2024-03-18,22800.0,2024-04-04,CE,73750,2933,46.8
2024-03-18,22800.0,2024-04-18,CE,2500,9,101.6
2024-03-18,22550.0,2024-05-30,PE,1200,0,586.7
2024-03-18,22800.0,2024-05-30,PE,900,0,737.75
2024-03-18,22550.0,2024-03-28,PE,46300,324,461.15
2024-03-18,22550.0,2024-04-10,PE,0,0,517.65
2024-03-18,22800.0,2024-04-18,PE,0,0,715.55
2024-03-18,22550.0,2024-04-25,CE,16800,196,268.4
2024-03-18,23100.0,2024-04-25,CE,102150,4143,96.35
2024-03-18,23100.0,2024-04-10,PE,0,0,973.75
2024-03-18,23100.0,2024-04-10,CE,4600,64,25.3
2024-03-18,23100.0,2024-03-21,PE,9450,0,1031.5
2024-03-18,23100.0,2024-04-25,PE,9900,19,957.9
2024-03-18,21400.0,2024-04-25,PE,239300,4336,104.5
2024-03-18,21400.0,2024-03-28,PE,787200,52349,23.85
2024-03-18,21400.0,2024-04-10,CE,0,0,790.7
2024-03-18,21400.0,2024-04-10,PE,0,0,44.15
2024-03-18,21400.0,2024-04-04,CE,650,1,751.4
2024-03-18,21400.0,2024-04-18,CE,0,0,841.95
2024-03-18,21400.0,2024-04-25,CE,7950,71,968.8
2024-03-18,21400.0,2024-04-04,PE,42450,1724,44.15
2024-03-18,21400.0,2024-03-21,PE,3119800,634642,4.45
2024-03-18,21400.0,2024-05-30,PE,19500,189,197.5
2024-03-18,21400.0,2024-03-28,CE,54350,536,762.5
2024-03-18,21400.0,2024-03-21,CE,32800,947,672.3
2024-03-18,21300.0,2024-03-21,PE,2978800,558354,3.05
2024-03-18,21300.0,2024-04-04,CE,0,0,841.95
2024-03-18,21300.0,2024-04-10,PE,1650,64,51.0
2024-03-18,21300.0,2024-04-25,CE,4450,32,1054.55
2024-03-18,21300.0,2024-05-30,CE,0,0,1163.9
2024-03-18,21300.0,2024-04-25,PE,253750,6327,89.0
2024-03-18,21300.0,2024-04-04,PE,93650,3659,34.95
2024-03-18,21300.0,2024-04-10,CE,0,0,878.35
2024-03-18,23000.0,2024-05-30,CE,182700,5224,304.25
2024-03-18,21050.0,2024-03-21,PE,478700,161289,1.5
2024-03-18,21050.0,2024-05-30,PE,0,0,81.05
2024-03-18,21050.0,2024-04-10,PE,350,7,29.55
2024-03-18,21050.0,2024-04-04,CE,0,0,1078.35
2024-03-18,21050.0,2024-04-25,PE,5800,170,60.05
2024-03-18,21050.0,2024-04-25,CE,550,13,1187.35
2024-03-18,21050.0,2024-03-28,PE,102750,8204,9.25
2024-03-18,23600.0,2024-04-04,CE,18750,427,5.35
2024-03-18,23600.0,2024-03-21,CE,221800,29957,0.55
2024-03-18,23600.0,2024-03-21,PE,50,0,1531.2
2024-03-18,23600.0,2024-04-04,PE,0,0,1471.7
2024-03-18,23600.0,2024-03-28,CE,123700,2103,2.4
2024-03-18,23600.0,2024-04-25,PE,1850,0,1403.5
2024-03-18,22550.0,2024-03-21,CE,1905450,800627,5.95
2024-03-18,22550.0,2024-04-25,PE,8350,106,514.35
2024-03-18,22800.0,2024-04-25,PE,11700,222,670.25
2024-03-18,22800.0,2024-04-04,PE,750,15,710.65
2024-03-18,22550.0,2024-05-30,CE,0,0,394.75
2024-03-18,22550.0,2024-04-04,PE,213100,150,450.75
2024-03-18,22800.0,2024-03-28,PE,64250,255,681.2
2024-03-18,22800.0,2024-05-30,CE,10100,149,375.0
2024-03-18,21900.0,2024-04-04,PE,61950,2434,139.1
2024-03-18,21900.0,2024-04-10,PE,1000,56,171.2
2024-03-18,21900.0,2024-03-28,PE,1143650,76736,108.0
2024-03-18,21900.0,2024-04-25,CE,24000,1058,619.3
2024-03-18,14000.0,2024-06-27,PE,7075,0,0.05
2024-03-18,23200.0,2024-05-30,CE,1700,41,234.3
2024-03-18,23200.0,2024-04-04,CE,65200,2091,10.6
2024-03-18,23200.0,2024-03-28,PE,114900,11,1039.4
2024-03-18,23200.0,2024-05-30,PE,0,0,1016.55
2024-03-18,23200.0,2024-04-18,CE,0,0,40.4
2024-03-18,23200.0,2024-04-25,CE,140450,3607,77.3
2024-03-18,23200.0,2024-03-28,CE,1226650,15384,3.4
2024-03-18,23200.0,2024-04-10,PE,0,0,1066.0
2024-03-18,23200.0,2024-04-10,CE,20400,197,22.7
2024-03-18,23500.0,2024-04-10,CE,8850,93,11.3
2024-03-18,23500.0,2024-05-30,PE,4750,6,1185.0
2024-03-18,26000.0,2025-06-26,PE,0,0,2365.95
2024-03-18,26000.0,2025-12-24,CE,0,0,1014.4
2024-03-18,26000.0,2028-06-29,PE,0,0,1050.8
2024-03-18,26000.0,2027-12-30,CE,0,0,3106.9
2024-03-18,26000.0,2028-12-28,PE,0,0,932.1
2024-03-18,26000.0,2024-06-27,PE,4800,27,3385.0
2024-03-18,26000.0,2024-03-28,CE,200650,744,1.4
2024-03-18,26000.0,2024-09-26,CE,16050,50,117.0
2024-03-18,26000.0,2024-09-26,PE,0,0,3105.9
2024-03-18,26000.0,2024-12-26,CE,114050,94,194.7
2024-03-18,26000.0,2025-06-26,CE,0,0,564.05
2024-03-18,26000.0,2025-12-24,PE,0,0,2030.95
2024-03-18,26000.0,2028-06-29,CE,0,0,3636.7
2024-03-18,26000.0,2027-06-24,PE,0,0,1352.45
2024-03-18,23300.0,2024-04-25,CE,172150,3630,63.35
2024-03-18,23300.0,2024-04-25,PE,13300,7,1130.35
2024-03-18,19950.0,2024-03-28,PE,1150,23,2.35
2024-03-18,21850.0,2024-05-30,CE,0,0,767.35
2024-03-18,21850.0,2024-04-04,PE,7000,716,124.9
2024-03-18,21850.0,2024-04-10,PE,50,1,176.55
2024-03-18,21850.0,2024-05-30,PE,0,0,268.65
2024-03-18,12000.0,2026-12-31,PE,600,0,0.05
2024-03-18,12000.0,2026-06-25,CE,50,0,11761.35
2024-03-18,12000.0,2026-06-25,PE,500,0,0.05
2024-03-18,19000.0,2028-12-28,PE,0,0,73.3
2024-03-18,19000.0,2024-09-26,CE,0,0,3730.85
2024-03-18,19000.0,2027-12-30,PE,700,0,79.05
2024-03-18,19000.0,2025-12-24,CE,3150,0,5260.6
2024-03-18,19000.0,2027-12-30,CE,0,0,7419.8
2024-03-18,19000.0,2025-06-26,PE,600000,0,49.75
2024-03-18,19000.0,2028-06-29,CE,0,0,7904.4
2024-03-18,19000.0,2027-06-24,CE,100,0,6897.4
2024-03-18,19000.0,2028-06-29,PE,0,0,76.6
2024-03-18,19000.0,2028-12-28,CE,0,0,8372.0
2024-03-18,19000.0,2024-06-27,CE,218650,297,3479.65
2024-03-18,19000.0,2024-03-28,PE,1137800,2584,1.65
2024-03-18,19000.0,2024-06-27,PE,769700,931,44.1
2024-03-18,19000.0,2026-06-25,PE,100,0,74.55
2024-03-18,19000.0,2027-06-24,PE,250,0,80.1
2024-03-18,19000.0,2024-09-26,PE,2850,0,12.35
2024-03-18,23400.0,2024-03-28,PE,2650,4,1301.4
2024-03-18,20650.0,2024-04-18,PE,0,0,6.4
2024-03-18,20650.0,2024-04-04,CE,0,0,1471.35
