Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-14,22800.0,2024-04-04,PE,50,0,637.4
2024-03-14,21050.0,2024-03-21,PE,101100,19829,3.05
2024-03-14,21050.0,2024-05-30,PE,0,0,75.25
2024-03-14,21050.0,2024-04-10,PE,0,0,14.3
2024-03-14,21050.0,2024-03-14,CE,350,9,22146.65
2024-03-14,21050.0,2024-04-04,CE,0,0,1186.2
2024-03-14,21050.0,2024-04-25,PE,4850,147,54.35
2024-03-14,21050.0,2024-03-14,PE,263100,148677,22146.65
2024-03-14,21050.0,2024-04-25,CE,0,0,1292.3
2024-03-14,23600.0,2024-04-04,CE,2050,92,9.65
2024-03-14,23600.0,2024-03-21,CE,170500,12460,1.1
2024-03-14,23600.0,2024-03-14,CE,477300,63645,22146.65
2024-03-14,23600.0,2024-03-21,PE,50,0,1422.85
2024-03-14,23600.0,2024-04-04,PE,0,0,1367.3
2024-03-14,23600.0,2024-03-28,CE,159600,4803,3.3
2024-03-14,23600.0,2024-04-25,PE,1850,0,1310.8
2024-03-14,22550.0,2024-03-28,CE,164600,11684,97.45
2024-03-14,22800.0,2024-04-25,CE,98900,3897,225.45
2024-03-14,22550.0,2024-04-04,CE,210900,181,166.65
2024-03-14,22550.0,2024-04-10,CE,0,0,174.55
2024-03-14,22800.0,2024-03-14,PE,52800,1768,22146.65
2024-03-14,22800.0,2024-04-04,CE,19100,431,85.65
2024-03-14,22800.0,2024-04-10,CE,250,8,130.0
2024-03-14,22550.0,2024-05-30,PE,1250,0,543.8
2024-03-14,22800.0,2024-05-30,PE,850,17,741.0
2024-03-14,22550.0,2024-03-28,PE,50000,672,382.3
2024-03-14,22550.0,2024-04-10,PE,0,0,465.6
2024-03-14,23150.0,2024-03-21,PE,0,0,974.1
2024-03-14,23150.0,2024-05-30,CE,0,0,239.1
2024-03-14,23150.0,2024-05-30,PE,0,0,915.15
2024-03-14,23150.0,2024-04-25,PE,6350,0,923.2
2024-03-14,23150.0,2024-03-21,CE,264600,18165,1.65
2024-03-14,23150.0,2024-03-28,PE,6400,5,952.75
2024-03-14,23350.0,2024-03-14,PE,200,0,22146.65
2024-03-14,23350.0,2024-04-25,CE,9250,57,82.05
2024-03-14,23350.0,2024-04-10,CE,200,0,26.0
2024-03-14,23350.0,2024-05-30,PE,0,0,1060.55
2024-03-14,23350.0,2024-04-10,PE,0,0,1113.05
2024-03-14,18000.0,2024-09-26,PE,0,0,1.85
2024-03-14,18000.0,2024-12-26,PE,279900,97,75.3
2024-03-14,21950.0,2024-04-25,PE,10450,342,215.5
2024-03-14,21950.0,2024-03-14,CE,955200,2373592,22146.65
2024-03-14,22350.0,2024-03-28,PE,93750,5324,260.5
2024-03-14,21950.0,2024-04-04,PE,4850,104,132.5
2024-03-14,22350.0,2024-04-04,PE,114150,71,283.2
2024-03-14,22350.0,2024-04-04,CE,118350,35,253.4
2024-03-14,21950.0,2024-04-25,CE,5050,116,679.65
2024-03-14,21950.0,2024-05-30,PE,0,0,281.1
2024-03-14,21950.0,2024-03-28,PE,144950,11122,106.45
2024-03-14,22350.0,2024-03-14,PE,1626700,185194,22146.65
2024-03-14,22350.0,2024-04-10,CE,2300,0,252.65
2024-03-14,21950.0,2024-03-21,CE,76400,26323,333.35
2024-03-14,22350.0,2024-03-14,CE,7907800,11800256,22146.65
2024-03-14,20100.0,2024-03-14,PE,240250,21417,22146.65
2024-03-14,20850.0,2024-03-28,CE,1550,0,1351.3
2024-03-14,23100.0,2024-04-25,CE,44500,1177,131.45
2024-03-14,23100.0,2024-04-10,PE,0,0,889.15
2024-03-14,23100.0,2024-04-10,CE,0,0,50.85
2024-03-14,23100.0,2024-03-21,PE,9450,33,870.65
2024-03-14,20750.0,2024-03-28,PE,34400,4851,6.95
2024-03-14,20750.0,2024-05-30,PE,0,0,43.75
2024-03-14,20750.0,2024-04-04,PE,0,0,2.05
2024-03-14,20750.0,2024-03-14,PE,212150,59587,22146.65
2024-03-14,20750.0,2024-04-10,CE,0,0,1504.7
2024-03-14,20750.0,2024-03-21,PE,48550,11018,1.95
2024-03-14,20750.0,2024-03-14,CE,0,0,22146.65
2024-03-14,20750.0,2024-04-10,PE,0,0,4.7
2024-03-14,20750.0,2024-03-21,CE,0,0,1423.5
