Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-11,21300.0,2024-03-21,PE,194800,6839,6.95
2024-03-11,21300.0,2024-04-04,CE,0,0,1141.15
2024-03-11,21300.0,2024-04-10,PE,0,0,22.15
2024-03-11,21300.0,2024-03-14,PE,2007250,187674,1.1
2024-03-11,21300.0,2024-04-25,CE,0,0,1252.3
2024-03-11,21300.0,2024-03-14,CE,10400,17,1043.7
2024-03-11,21300.0,2024-05-30,CE,0,0,1433.6
2024-03-11,21300.0,2024-04-25,PE,146850,1478,76.5
2024-03-11,21300.0,2024-04-04,PE,0,0,14.2
2024-03-11,21300.0,2024-04-10,CE,0,0,1172.65
2024-03-11,21250.0,2024-04-25,CE,200,0,1297.1
2024-03-11,21250.0,2024-03-28,CE,6150,0,1154.25
2024-03-11,21250.0,2024-03-21,PE,22350,1075,6.15
2024-03-11,21250.0,2024-03-28,PE,73900,3024,18.65
2024-03-11,22250.0,2024-03-14,PE,1010800,789474,72.75
2024-03-11,22250.0,2024-04-25,PE,8750,77,297.0
2024-03-11,23000.0,2024-05-30,CE,76100,522,538.05
2024-03-11,23550.0,2024-05-30,PE,0,0,1068.7
2024-03-11,23000.0,2024-03-21,CE,783250,52239,18.1
2024-03-11,23000.0,2024-04-25,CE,577150,9646,239.5
2024-03-11,23000.0,2026-12-31,PE,6200,0,526.0
2024-03-11,23000.0,2024-03-21,PE,30000,1010,631.9
2024-03-11,23000.0,2028-12-28,CE,0,0,6056.0
2024-03-11,23000.0,2027-12-30,PE,0,0,433.45
2024-03-11,23000.0,2024-04-25,PE,273900,3504,654.75
2024-03-11,23550.0,2024-03-28,PE,800,0,1150.35
2024-03-11,23550.0,2024-04-10,CE,0,0,32.7
2024-03-11,23850.0,2024-04-25,PE,450,5,1288.55
2024-03-11,23850.0,2024-04-10,CE,400,11,22.8
2024-03-11,23850.0,2024-04-04,PE,0,0,1418.75
2024-03-11,23850.0,2024-04-25,CE,4200,114,52.9
2024-03-11,23850.0,2024-05-30,PE,0,0,1302.1
2024-03-11,21150.0,2024-03-28,PE,54700,8348,15.3
2024-03-11,21150.0,2024-03-14,PE,99000,30280,1.05
2024-03-11,21150.0,2024-03-21,PE,19500,612,5.45
2024-03-11,21150.0,2024-05-30,PE,100,0,68.6
2024-03-11,21150.0,2024-05-30,CE,0,0,1561.85
2024-03-11,21150.0,2024-03-14,CE,100,0,1194.4
2024-03-11,20200.0,2024-03-14,PE,264950,8978,0.7
2024-03-11,20200.0,2024-03-21,PE,24800,459,1.85
2024-03-11,20200.0,2024-04-04,CE,0,0,2222.2
2024-03-11,20200.0,2024-03-28,CE,17800,11,2201.0
2024-03-11,20200.0,2024-04-04,PE,0,0,0.05
2024-03-11,20200.0,2024-03-14,CE,650,0,2143.85
2024-03-11,21750.0,2024-04-10,PE,0,0,76.1
