Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-18,17350.0,2024-01-25,CE,200,0,4134.7
2024-01-18,17350.0,2024-01-25,PE,54050,1317,0.75
2024-01-18,23650.0,2024-02-08,PE,250,0,2096.25
2024-01-18,23650.0,2024-03-28,CE,2350,33,54.95
2024-01-18,13000.0,2026-06-25,PE,200,0,0.2
2024-01-18,23650.0,2024-02-01,CE,7700,201,5.1
2024-01-18,23650.0,2024-03-28,PE,0,0,1915.1
2024-01-18,23650.0,2024-02-01,PE,0,0,2126.6
2024-01-18,23650.0,2024-02-15,CE,1600,0,0.85
2024-01-18,13000.0,2026-12-31,PE,200,0,0.4
2024-01-18,23650.0,2024-01-25,PE,0,0,2157.15
2024-01-18,23650.0,2024-02-29,PE,0,0,2010.45
2024-01-18,23650.0,2024-01-25,CE,44800,2062,1.95
2024-01-18,23650.0,2024-02-15,PE,0,0,2066.5
2024-01-18,23650.0,2024-02-29,CE,9600,81,20.15
2024-01-18,23650.0,2024-02-08,CE,4050,202,9.0
2024-01-18,23650.0,2024-01-18,CE,132650,16197,21462.25
2024-01-18,23650.0,2024-01-18,PE,0,0,21462.25
2024-01-18,13000.0,2025-12-24,PE,150,0,0.1
2024-01-18,19100.0,2024-01-25,CE,8900,59,2396.3
2024-01-18,19100.0,2024-02-29,PE,0,0,0.35
2024-01-18,25000.0,2025-12-24,PE,0,0,1739.55
2024-01-18,25000.0,2028-06-29,PE,0,0,923.35
2024-01-18,25000.0,2024-06-27,CE,119700,785,145.6
2024-01-18,25000.0,2024-06-27,PE,0,0,2860.1
2024-01-18,25000.0,2026-12-31,PE,0,0,1328.55
2024-01-18,25000.0,2028-12-28,PE,0,0,821.9
2024-01-18,20700.0,2024-02-08,CE,0,0,868.1
2024-01-18,20700.0,2024-02-15,PE,0,0,39.95
2024-01-18,20700.0,2024-01-18,PE,5014600,2336383,21462.25
2024-01-18,20700.0,2024-02-01,CE,0,0,827.65
2024-01-18,20700.0,2024-02-08,PE,12150,616,54.65
2024-01-18,20700.0,2024-03-28,PE,103700,659,149.65
2024-01-18,20700.0,2024-03-28,CE,200,0,1141.25
2024-01-18,20700.0,2024-01-25,PE,1096850,153978,11.15
2024-01-18,20700.0,2024-02-29,PE,296850,6831,98.95
2024-01-18,20700.0,2024-01-25,CE,65700,1009,835.0
2024-01-18,20700.0,2024-02-15,CE,0,0,909.1
2024-01-18,20700.0,2024-01-18,CE,2550,262,21462.25
2024-01-18,20700.0,2024-02-01,PE,82000,10068,32.8
2024-01-18,20250.0,2024-03-28,CE,0,0,1522.55
2024-01-18,20950.0,2024-01-18,CE,4800,1669,21462.25
2024-01-18,20950.0,2024-01-18,PE,3471100,3227534,21462.25
2024-01-18,20950.0,2024-02-08,PE,0,0,58.1
2024-01-18,20950.0,2024-01-25,PE,317000,66681,24.15
2024-01-18,20250.0,2024-02-15,PE,0,0,9.05
2024-01-18,20250.0,2024-01-18,PE,606000,145790,21462.25
2024-01-18,20150.0,2024-03-28,PE,3000,22,79.5
2024-01-18,22600.0,2024-03-28,PE,1800,0,1012.5
2024-01-18,23250.0,2024-02-15,PE,0,0,1671.6
2024-01-18,20150.0,2024-02-15,CE,0,0,1422.5
2024-01-18,22600.0,2024-02-29,PE,12900,54,1033.25
2024-01-18,20150.0,2024-01-18,PE,118700,121089,21462.25
2024-01-18,18650.0,2024-01-25,CE,0,0,2836.4
2024-01-18,22250.0,2024-01-18,CE,2127450,707791,21462.25
2024-01-18,22250.0,2024-02-15,PE,0,0,747.8
2024-01-18,23000.0,2024-02-01,CE,235200,12849,9.25
2024-01-18,23000.0,2025-12-24,CE,2450,0,2156.55
2024-01-18,23000.0,2024-01-25,CE,4318400,187160,2.2
2024-01-18,23000.0,2027-12-30,CE,0,0,4415.75
2024-01-18,23000.0,2024-06-27,PE,132300,838,1368.55
2024-01-18,23000.0,2024-03-28,CE,725400,11067,120.95
2024-01-18,23000.0,2024-02-08,CE,60300,1654,20.55
2024-01-18,23550.0,2024-02-29,PE,0,0,1913.0
2024-01-18,23000.0,2026-06-25,CE,0,0,2737.85
2024-01-18,23550.0,2024-02-01,PE,0,0,2026.85
2024-01-18,23550.0,2024-02-29,CE,5200,436,22.85
2024-01-18,23000.0,2025-12-24,PE,550,0,879.15
2024-01-18,19750.0,2024-01-18,PE,156200,27983,21462.25
2024-01-18,21250.0,2024-01-18,PE,5876450,12624337,21462.25
2024-01-18,22250.0,2024-01-18,PE,217200,2286,21462.25
2024-01-18,22250.0,2024-01-25,PE,39700,94,721.65
2024-01-18,22250.0,2024-03-28,PE,100,1,762.25
2024-01-18,23550.0,2024-01-25,PE,0,0,2057.3
2024-01-18,23000.0,2028-12-28,PE,0,0,460.9
2024-01-18,23550.0,2024-02-08,CE,2200,12,0.25
2024-01-18,23550.0,2024-03-28,CE,500,0,37.65
2024-01-18,23000.0,2025-06-26,PE,0,0,979.25
2024-01-18,23550.0,2024-02-01,CE,8800,147,5.45
2024-01-18,18800.0,2024-01-25,CE,4000,1,2686.55
2024-01-18,18600.0,2024-01-25,PE,78950,1049,1.3
2024-01-18,18800.0,2024-02-29,CE,200,2,2807.8
2024-01-18,26000.0,2026-12-31,CE,0,0,1892.95
2024-01-18,26000.0,2024-12-26,PE,0,0,3139.45
2024-01-18,19650.0,2024-02-29,PE,4050,83,19.8
2024-01-18,26000.0,2025-06-26,PE,0,0,2660.7
2024-01-18,26000.0,2025-12-24,CE,0,0,935.7
2024-01-18,20750.0,2024-02-15,CE,0,0,865.55
2024-01-18,20750.0,2024-03-28,CE,250,1,1101.55
2024-01-18,20750.0,2024-02-01,PE,16100,1713,37.2
2024-01-18,20750.0,2024-01-18,CE,1500,168,21462.25
2024-01-18,20750.0,2024-01-18,PE,2920500,1351235,21462.25
2024-01-18,23300.0,2024-02-08,CE,3650,39,12.95
2024-01-18,23300.0,2024-02-15,CE,500,0,3.3
2024-01-18,23300.0,2024-02-15,PE,0,0,1720.7
2024-01-18,23300.0,2024-02-29,PE,2800,23,1671.8
2024-01-18,23300.0,2024-02-29,CE,139750,4260,29.9
2024-01-18,23300.0,2024-01-18,CE,1377700,79220,21462.25
2024-01-18,23300.0,2024-02-08,PE,0,0,1748.3
2024-01-18,23300.0,2024-03-28,CE,39350,657,84.2
2024-01-18,23300.0,2024-01-25,PE,8700,38,1807.6
2024-01-18,22850.0,2024-02-15,PE,0,0,1284.4
2024-01-18,23400.0,2024-01-18,CE,1268750,57067,21462.25
2024-01-18,20650.0,2024-01-25,CE,6750,252,899.35
2024-01-18,20650.0,2024-02-15,CE,0,0,953.35
2024-01-18,18350.0,2024-01-25,PE,4900,144,1.1
2024-01-18,23450.0,2024-03-28,CE,2150,49,70.85
2024-01-18,23450.0,2024-01-25,CE,70850,2763,1.95
2024-01-18,23450.0,2024-01-18,PE,100,2,21462.25
2024-01-18,20350.0,2024-02-01,CE,0,0,1166.7
2024-01-18,20350.0,2024-03-28,CE,50,1,1434.5
2024-01-18,21700.0,2024-02-08,PE,12500,273,345.35
2024-01-18,21700.0,2024-02-01,CE,265150,20189,194.35
2024-01-18,21700.0,2024-03-28,CE,16450,356,572.4
2024-01-18,21700.0,2024-02-15,CE,4700,80,311.25
2024-01-18,21700.0,2024-01-18,PE,534500,280748,21462.25
2024-01-18,23750.0,2024-01-18,CE,92650,8897,21462.25
2024-01-18,23750.0,2024-03-28,CE,0,0,26.35
2024-01-18,19250.0,2024-01-25,PE,17600,426,1.55
2024-01-18,21500.0,2024-02-01,CE,433300,26703,299.5
2024-01-18,23750.0,2024-02-29,PE,0,0,2108.25
2024-01-18,20000.0,2024-02-29,CE,478600,2764,1707.05
2024-01-18,20000.0,2027-12-30,CE,0,0,6317.2
2024-01-18,20000.0,2024-12-26,PE,533000,770,357.55
2024-01-18,22300.0,2024-02-01,CE,127850,13165,40.85
2024-01-18,22300.0,2024-01-25,PE,99200,1526,777.0
2024-01-18,19850.0,2024-02-01,PE,0,0,0.05
2024-01-18,22300.0,2024-02-15,PE,2200,0,789.05
2024-01-18,22450.0,2024-02-15,CE,1700,5,45.55
2024-01-18,19850.0,2024-01-18,PE,110050,16520,21462.25
2024-01-18,19850.0,2024-02-08,PE,0,0,0.55
2024-01-18,19450.0,2024-02-29,PE,1050,5,16.3
2024-01-18,22700.0,2024-02-15,CE,1750,86,49.7
2024-01-18,22700.0,2024-02-01,CE,67100,3895,16.4
2024-01-18,22700.0,2024-02-08,CE,18950,1411,33.55
2024-01-18,20500.0,2024-03-28,PE,566350,4079,124.35
2024-01-18,20500.0,2024-01-25,CE,430850,3701,1039.8
2024-01-18,21450.0,2024-02-08,PE,1350,123,234.4
2024-01-18,21450.0,2024-02-01,CE,47100,5391,327.75
2024-01-18,21450.0,2024-03-28,PE,2200,62,342.45
2024-01-18,22900.0,2024-03-28,PE,1950,0,1251.0
2024-01-18,22900.0,2024-03-28,CE,42400,1132,137.65
2024-01-18,18350.0,2024-01-25,CE,100,0,3136.0
2024-01-18,21050.0,2024-01-18,PE,2202700,5445616,21462.25
2024-01-18,21050.0,2024-02-08,PE,1000,0,77.85
2024-01-18,21050.0,2024-01-25,PE,267050,56482,33.95
2024-01-18,21050.0,2024-02-01,CE,100,2,517.7
2024-01-18,21050.0,2024-02-29,CE,5150,64,713.95
2024-01-18,21050.0,2024-01-18,CE,9850,4415,21462.25
2024-01-18,19800.0,2024-02-29,PE,256100,4485,23.45
2024-01-18,23600.0,2024-02-08,CE,3100,44,11.35
2024-01-18,23600.0,2024-03-28,CE,2700,52,59.85
2024-01-18,23600.0,2024-02-01,PE,0,0,2076.75
2024-01-18,23600.0,2024-01-18,PE,0,0,21462.25
2024-01-18,19800.0,2024-02-29,CE,2200,12,1895.4
2024-01-18,22550.0,2024-03-28,PE,100,0,974.75
