Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-29,22350.0,2024-02-15,PE,0,0,601.35
2024-01-29,21950.0,2024-02-15,CE,3900,167,240.7
2024-01-29,21950.0,2024-04-25,PE,0,0,464.55
2024-01-29,22350.0,2024-02-01,CE,1246400,429834,14.5
2024-01-29,21950.0,2024-02-08,PE,12150,810,341.2
2024-01-29,22350.0,2024-03-28,PE,1200,0,651.45
2024-01-29,22350.0,2024-02-08,CE,28850,5394,64.65
2024-01-29,22350.0,2024-02-29,CE,24750,1706,174.9
2024-01-29,22350.0,2024-02-15,CE,1850,51,102.1
2024-01-29,21950.0,2024-04-25,CE,0,0,602.45
2024-01-29,21950.0,2024-02-01,CE,1093700,509707,93.95
2024-01-29,21950.0,2024-03-28,PE,2350,4,425.35
2024-01-29,21950.0,2024-02-29,PE,16100,1115,417.85
2024-01-29,21950.0,2024-02-29,CE,26650,3536,324.9
2024-01-29,21950.0,2024-03-28,CE,2600,80,544.25
2024-01-29,22350.0,2024-02-08,PE,3900,81,594.5
2024-01-29,21950.0,2024-02-01,PE,79300,16660,267.65
2024-01-29,22350.0,2024-04-25,CE,0,0,417.3
2024-01-29,21950.0,2024-02-15,PE,50,1,314.8
2024-01-29,23150.0,2024-02-01,CE,63350,13697,1.25
2024-01-29,23150.0,2024-02-15,CE,1000,5,2.95
2024-01-29,19500.0,2024-02-29,PE,935450,16940,11.75
2024-01-29,19500.0,2025-12-24,CE,1300,0,4721.3
2024-01-29,19500.0,2024-02-15,PE,0,0,0.05
2024-01-29,19500.0,2024-02-22,CE,0,0,2324.0
2024-01-29,15000.0,2024-12-26,PE,28300,0,0.1
2024-01-29,18650.0,2024-02-29,CE,33250,7,3180.0
2024-01-29,22250.0,2024-02-15,CE,1150,19,137.45
2024-01-29,22250.0,2024-02-01,PE,6100,529,493.3
2024-01-29,22250.0,2024-02-29,CE,71600,2600,212.5
2024-01-29,22250.0,2024-04-25,PE,0,0,616.6
2024-01-29,22250.0,2024-02-22,CE,0,0,122.3
2024-01-29,22250.0,2024-02-29,PE,35000,372,600.9
2024-01-29,23000.0,2024-04-25,CE,15400,498,244.8
2024-01-29,23000.0,2026-12-31,PE,6100,9,668.8
2024-01-29,23000.0,2024-02-01,PE,13350,92,1233.95
2024-01-29,23000.0,2028-12-28,CE,0,0,5682.1
2024-01-29,23000.0,2027-12-30,PE,0,0,547.35
2024-01-29,23000.0,2024-02-15,PE,700,12,1175.0
2024-01-29,23000.0,2024-04-25,PE,0,0,1104.25
2024-01-29,23550.0,2024-03-28,PE,0,0,1601.55
2024-01-29,23000.0,2025-06-26,CE,0,0,1722.15
2024-01-29,23550.0,2024-02-15,CE,0,0,0.4
2024-01-29,23000.0,2024-02-29,CE,3163550,43953,52.35
2024-01-29,23000.0,2024-12-26,CE,154950,233,1173.75
2024-01-29,23000.0,2024-12-26,PE,101950,214,1196.85
2024-01-29,23000.0,2024-02-15,CE,40100,1843,22.85
2024-01-29,23000.0,2024-02-22,PE,0,0,1176.75
2024-01-29,23000.0,2024-02-08,PE,2650,9,1177.55
2024-01-29,23000.0,2024-02-22,CE,6400,414,34.25
2024-01-29,22000.0,2026-12-31,CE,0,0,4134.15
2024-01-29,22000.0,2024-02-22,CE,29950,1801,262.0
2024-01-29,24000.0,2025-12-24,PE,0,0,1186.25
