Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-28,21250.0,2024-04-25,CE,1300,2,1203.2
2024-03-28,24000.0,2027-06-24,PE,0,0,688.5
2024-03-28,22550.0,2024-03-28,CE,7079900,22259568,22326.9
2024-03-28,23450.0,2024-04-25,CE,28150,3394,31.25
2024-03-28,21650.0,2024-04-25,PE,34750,2968,71.85
2024-03-28,20800.0,2024-04-18,PE,0,0,1.1
2024-03-28,22200.0,2024-05-02,PE,500,115,222.5
2024-03-28,25000.0,2026-12-31,PE,0,0,1064.65
2024-03-28,22100.0,2024-05-02,PE,2050,16,199.7
2024-03-28,20650.0,2024-04-18,PE,0,0,0.5
2024-03-28,22600.0,2024-05-02,CE,200,4,278.2
2024-03-28,21850.0,2024-05-30,CE,0,0,901.85
2024-03-28,23250.0,2024-04-25,CE,40300,2961,51.7
2024-03-28,23650.0,2024-03-28,CE,41450,22030,22326.9
2024-03-28,20500.0,2024-05-02,CE,0,0,1961.2
2024-03-28,20750.0,2024-04-25,PE,9950,306,13.4
2024-03-28,19650.0,2024-04-25,CE,250,4,2778.4
2024-03-28,25000.0,2024-09-26,PE,0,0,2039.5
2024-03-28,19500.0,2025-12-24,CE,1400,1,4500.0
2024-03-28,23700.0,2024-04-04,CE,663850,44068,2.05
2024-03-28,23300.0,2024-04-10,CE,76000,6369,7.25
2024-03-28,21600.0,2024-03-28,CE,73750,2750,22326.9
2024-03-28,20700.0,2024-05-02,CE,0,0,1764.75
2024-03-28,22500.0,2024-03-28,PE,5648550,9873928,22326.9
2024-03-28,25000.0,2024-12-26,CE,224950,449,463.25
2024-03-28,20150.0,2024-03-28,PE,62250,13561,22326.9
2024-03-28,20650.0,2024-05-30,PE,500,0,16.8
2024-03-28,22300.0,2024-05-30,CE,19950,578,644.1
2024-03-28,25000.0,2028-12-28,PE,0,0,664.0
2024-03-28,20950.0,2024-04-04,CE,50,1,1404.0
2024-03-28,22700.0,2024-05-30,PE,5300,169,481.05
2024-03-28,24000.0,2024-05-30,CE,327600,8487,55.7
2024-03-28,24250.0,2024-05-30,CE,8700,202,34.4
2024-03-28,22500.0,2024-04-10,CE,710050,55656,152.0
2024-03-28,21400.0,2024-04-25,PE,864300,39668,43.0
2024-03-28,21350.0,2024-04-10,PE,4400,335,13.15
2024-03-28,21450.0,2024-05-30,PE,200,13,110.0
2024-03-28,20000.0,2024-06-27,CE,330750,1826,2759.75
2024-03-28,27000.0,2027-06-24,CE,0,0,2260.6
2024-03-28,20450.0,2024-04-10,CE,0,0,1926.0
2024-03-28,20550.0,2024-04-25,CE,0,0,1884.1
2024-03-28,23800.0,2024-04-25,PE,1450,0,1363.25
2024-03-28,27000.0,2025-12-24,CE,0,0,797.95
2024-03-28,24050.0,2024-04-10,CE,700,0,0.15
2024-03-28,24250.0,2024-04-25,PE,550,0,1800.85
2024-03-28,16000.0,2024-03-28,PE,108050,5838,22326.9
2024-03-28,19000.0,2028-12-28,PE,0,0,64.65
2024-03-28,18500.0,2024-06-27,CE,4575,0,4135.75
2024-03-28,16000.0,2026-12-31,CE,50,0,9053.8
2024-03-28,24000.0,2026-06-25,CE,0,0,2560.2
