Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-02-22,22550.0,2024-02-22,PE,6850,1352,22217.45
2024-02-22,22550.0,2024-03-14,CE,750,79,197.9
2024-02-22,22550.0,2024-03-28,CE,26900,457,304.15
2024-02-22,22800.0,2024-04-25,CE,6700,112,388.7
2024-02-22,22800.0,2024-03-21,CE,2000,58,159.85
2024-02-22,22800.0,2024-03-14,PE,0,0,582.8
2024-02-22,23350.0,2024-03-14,PE,0,0,1059.85
2024-02-22,23350.0,2024-04-25,CE,150,0,154.95
2024-02-22,23350.0,2024-02-29,CE,162150,7108,1.65
2024-02-22,26000.0,2024-06-27,CE,103950,390,72.7
2024-02-22,19650.0,2024-04-25,CE,0,0,2796.55
2024-02-22,26000.0,2026-06-25,CE,0,0,1681.25
2024-02-22,26000.0,2026-06-25,PE,0,0,1665.45
2024-02-22,26000.0,2027-06-24,CE,0,0,2749.25
2024-02-22,19650.0,2024-03-28,CE,50,0,2694.3
2024-02-22,26000.0,2026-12-31,PE,0,0,1453.95
2024-02-22,26000.0,2028-12-28,CE,0,0,4373.9
2024-02-22,26000.0,2027-12-30,PE,0,0,1134.35
2024-02-22,26000.0,2024-03-28,PE,40100,726,3556.5
2024-02-22,23400.0,2024-03-14,CE,6100,137,19.65
2024-02-22,23400.0,2024-02-29,PE,1900,1,1165.0
2024-02-22,23400.0,2024-03-21,PE,0,0,1092.65
2024-02-22,23200.0,2024-03-14,CE,200,7,31.5
2024-02-22,23200.0,2024-02-22,PE,100,3,22217.45
2024-02-22,23200.0,2024-02-29,PE,4950,198,947.15
2024-02-22,23200.0,2024-03-07,PE,0,0,933.1
2024-02-22,23200.0,2024-03-07,CE,125700,6904,13.2
2024-02-22,19500.0,2024-02-29,PE,1375600,30437,1.15
2024-02-22,19500.0,2025-12-24,CE,1300,0,5085.0
2024-02-22,19500.0,2024-02-22,CE,2400,89,22217.45
2024-02-22,21100.0,2024-02-22,CE,7950,931,22217.45
2024-02-22,21100.0,2024-03-28,PE,123300,3939,58.45
2024-02-22,21100.0,2024-03-07,CE,0,0,1174.3
2024-02-22,21100.0,2024-03-14,CE,0,0,1206.85
2024-02-22,21950.0,2024-04-25,PE,900,11,300.0
2024-02-22,21950.0,2024-03-07,CE,9550,2196,466.2
2024-02-22,22350.0,2024-03-07,CE,30200,2866,218.35
2024-02-22,21950.0,2024-03-14,CE,4250,265,522.25
2024-02-22,22350.0,2024-03-28,PE,13500,292,366.0
2024-02-22,22350.0,2024-02-29,CE,623000,142525,113.15
2024-02-22,21950.0,2024-04-25,CE,1450,2,758.05
2024-02-22,21950.0,2024-03-28,PE,21100,1483,211.4
2024-02-22,22350.0,2024-03-07,PE,8700,170,262.7
2024-02-22,21950.0,2024-02-29,PE,882850,181031,65.05
2024-02-22,22350.0,2024-03-14,PE,50,3,327.8
2024-02-22,21950.0,2024-03-21,CE,350,29,566.05
2024-02-22,22350.0,2024-03-14,CE,250,1,240.8
2024-02-22,21950.0,2024-02-29,CE,284100,119282,358.95
2024-02-22,21950.0,2024-03-28,CE,14650,673,644.75
2024-02-22,22350.0,2024-04-25,CE,400,5,632.5
2024-02-22,22350.0,2024-03-21,PE,0,0,312.3
2024-02-22,21950.0,2024-03-21,PE,0,0,148.1
2024-02-22,20550.0,2024-04-25,CE,0,0,1923.35
2024-02-22,20550.0,2024-03-07,PE,4250,98,0.05
2024-02-22,20550.0,2024-04-25,PE,0,0,17.85
2024-02-22,20550.0,2024-03-14,CE,0,0,1747.65
2024-02-22,20550.0,2024-02-22,PE,47200,18290,22217.45
2024-02-22,20550.0,2024-03-14,PE,0,0,0.55
2024-02-22,20550.0,2024-03-21,PE,0,0,1.8
2024-02-22,20550.0,2024-03-28,PE,5700,176,26.05
2024-02-22,23650.0,2024-03-28,CE,9700,287,36.45
2024-02-22,13000.0,2026-06-25,PE,200,0,0.1
2024-02-22,23650.0,2024-03-28,PE,0,0,1307.85
2024-02-22,23650.0,2024-03-14,PE,0,0,1347.05
2024-02-22,23650.0,2024-03-21,PE,0,0,1325.7
2024-02-22,23650.0,2024-03-21,CE,0,0,15.3
2024-02-22,13000.0,2026-12-31,PE,200,0,0.2
2024-02-22,13000.0,2025-12-24,PE,150,0,0.05
2024-02-22,23650.0,2024-03-14,CE,0,0,6.15
2024-02-22,23650.0,2024-03-07,CE,3600,45,3.8
2024-02-22,23650.0,2024-02-22,CE,291000,27457,22217.45
