Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-23,23100.0,2024-02-22,CE,100,0,3.85
2024-01-23,23100.0,2024-02-29,CE,70200,5320,25.7
2024-01-23,23100.0,2024-02-08,PE,0,0,1793.1
2024-01-23,17400.0,2024-01-25,CE,15000,0,3845.25
2024-01-23,21400.0,2024-02-29,CE,156900,7781,366.65
2024-01-23,21400.0,2024-02-22,CE,400,39,347.55
2024-01-23,21400.0,2024-03-28,PE,65500,1589,451.4
2024-01-23,21400.0,2024-02-01,CE,516450,53331,165.95
2024-01-23,21400.0,2024-02-29,PE,302600,18685,412.6
2024-01-23,21400.0,2024-02-08,PE,82650,8668,347.05
2024-01-23,21400.0,2024-02-01,PE,408600,123453,302.85
2024-01-23,21400.0,2024-02-15,CE,11200,723,293.95
2024-01-23,21400.0,2024-02-08,CE,55000,4464,246.15
2024-01-23,21400.0,2024-01-25,PE,2488350,2502658,252.8
2024-01-23,26000.0,2026-06-25,PE,0,0,2123.65
2024-01-23,26000.0,2027-06-24,CE,0,0,2230.95
2024-01-23,26000.0,2026-12-31,PE,0,0,1848.55
2024-01-23,26000.0,2028-12-28,CE,0,0,3732.0
2024-01-23,20750.0,2024-01-25,CE,7050,154,451.1
2024-01-23,20750.0,2024-02-01,CE,3850,89,564.05
2024-01-23,20750.0,2024-03-28,PE,1300,1,163.95
2024-01-23,20750.0,2024-02-29,PE,29200,943,174.45
2024-01-23,20750.0,2024-02-08,CE,0,0,594.95
2024-01-23,20750.0,2024-01-25,PE,1363650,432640,10.9
2024-01-23,20750.0,2024-02-22,CE,0,0,692.05
2024-01-23,20750.0,2024-02-15,PE,0,0,67.95
2024-01-23,19900.0,2024-02-01,PE,13450,1893,7.7
2024-01-23,19900.0,2024-02-08,PE,1800,0,0.75
2024-01-23,19900.0,2024-02-15,PE,0,0,2.95
2024-01-23,19750.0,2024-01-25,PE,65700,8107,1.1
2024-01-23,18650.0,2024-02-29,CE,250,3,2716.05
2024-01-23,22250.0,2024-02-15,CE,500,0,27.5
2024-01-23,22250.0,2024-02-01,PE,2050,26,975.75
2024-01-23,22250.0,2024-02-29,CE,26900,1758,93.8
2024-01-23,22250.0,2024-02-22,CE,0,0,48.15
2024-01-23,18500.0,2024-01-25,PE,1368950,60659,0.4
2024-01-23,18500.0,2024-01-25,CE,140850,295,2672.55
2024-01-23,23000.0,2026-12-31,PE,5800,0,769.75
2024-01-23,23000.0,2024-02-01,PE,2550,29,1722.95
2024-01-23,23000.0,2028-12-28,CE,0,0,5254.6
2024-01-23,23000.0,2027-12-30,PE,0,0,619.75
2024-01-23,23000.0,2024-02-15,PE,100,0,1665.35
2024-01-23,23550.0,2024-03-28,PE,0,0,2049.25
2024-01-23,23000.0,2025-06-26,CE,0,0,1428.25
2024-01-23,23000.0,2024-02-29,CE,2333300,38476,30.45
2024-01-23,23550.0,2024-02-15,CE,0,0,0.15
2024-01-23,18400.0,2024-01-25,CE,6000,56,2845.6
2024-01-23,20550.0,2024-02-08,CE,0,0,770.35
2024-01-23,20550.0,2024-01-25,PE,571050,221564,4.4
2024-01-23,20550.0,2024-02-22,PE,0,0,53.05
2024-01-23,20550.0,2024-03-28,PE,2750,0,118.4
2024-01-23,20550.0,2024-02-15,PE,0,0,37.15
2024-01-23,20550.0,2024-02-29,CE,900,3,915.6
2024-01-23,18200.0,2024-01-25,PE,81000,2822,0.4
2024-01-23,21150.0,2024-03-28,PE,1200,50,348.0
2024-01-23,21150.0,2024-02-15,CE,0,0,362.35
2024-01-23,21150.0,2024-02-01,PE,101250,22028,180.8
2024-01-23,21150.0,2024-02-29,PE,18950,946,303.75
2024-01-23,21150.0,2024-02-22,CE,0,0,414.8
2024-01-23,21150.0,2024-02-08,CE,1400,91,375.15
2024-01-23,21150.0,2024-02-22,PE,0,0,208.95
2024-01-23,21150.0,2024-02-01,CE,31850,2415,290.85
2024-01-23,21150.0,2024-02-15,PE,2100,34,258.0
2024-01-23,20200.0,2024-02-29,CE,18450,205,1215.75
2024-01-23,20200.0,2024-02-08,PE,3600,7,18.0
2024-01-23,21750.0,2024-02-01,PE,26050,19279,545.95
2024-01-23,21750.0,2024-01-25,PE,782150,673456,575.45
2024-01-23,21750.0,2024-03-28,CE,3200,150,394.6
2024-01-23,21750.0,2024-01-25,CE,4407100,1879323,10.8
2024-01-23,21750.0,2024-02-22,CE,0,0,148.55
