Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-02-05,22350.0,2024-02-15,PE,4150,218,621.7
2024-02-05,21950.0,2024-02-15,CE,125000,21899,140.05
2024-02-05,21950.0,2024-04-25,PE,100,3,439.7
2024-02-05,21950.0,2024-03-07,CE,50,1,292.25
2024-02-05,22350.0,2024-03-07,CE,0,0,144.65
2024-02-05,21950.0,2024-02-08,PE,561800,866164,275.6
2024-02-05,22350.0,2024-03-28,PE,2000,1,622.2
2024-02-05,22350.0,2024-02-08,CE,2346600,705893,10.4
2024-02-05,22350.0,2024-02-29,CE,68450,3607,113.25
2024-02-05,22350.0,2024-02-15,CE,72400,12114,41.95
2024-02-05,21950.0,2024-04-25,CE,0,0,583.75
2024-02-05,21950.0,2024-03-28,PE,5150,199,476.6
2024-02-05,22350.0,2024-03-07,PE,0,0,595.2
2024-02-05,21950.0,2024-02-29,PE,57400,8254,400.05
2024-02-05,21950.0,2024-02-29,CE,59350,7945,251.15
2024-02-05,21950.0,2024-03-28,CE,5150,134,470.55
2024-02-05,22350.0,2024-02-08,PE,16800,1808,625.55
2024-02-05,22350.0,2024-04-25,CE,0,0,397.7
2024-02-05,21950.0,2024-02-15,PE,86950,17307,321.65
2024-02-05,21950.0,2024-03-07,PE,0,0,345.1
2024-02-05,22250.0,2024-02-15,CE,79950,16106,57.35
2024-02-05,22250.0,2024-03-07,PE,0,0,525.85
2024-02-05,22250.0,2024-02-29,CE,83200,6223,138.15
2024-02-05,22250.0,2024-04-25,PE,0,0,591.25
2024-02-05,19750.0,2024-02-22,CE,0,0,2083.7
2024-02-05,19750.0,2024-02-15,CE,0,0,2058.2
2024-02-05,23000.0,2024-04-25,CE,76100,945,246.4
2024-02-05,23000.0,2026-12-31,PE,6200,0,660.75
2024-02-05,23000.0,2028-12-28,CE,0,0,5689.35
2024-02-05,23000.0,2027-12-30,PE,0,0,540.75
2024-02-05,23000.0,2024-02-15,PE,700,0,1186.6
2024-02-05,23000.0,2024-04-25,PE,4450,84,1116.0
2024-02-05,23550.0,2024-03-28,PE,50,0,1587.55
2024-02-05,23550.0,2024-03-07,CE,0,0,7.2
2024-02-05,23550.0,2024-02-22,CE,2000,146,5.45
2024-02-05,23000.0,2025-06-26,CE,0,0,1717.1
2024-02-05,23550.0,2024-02-15,CE,6950,158,2.75
2024-02-05,23000.0,2024-02-29,CE,4260350,58753,26.95
2024-02-05,23000.0,2024-12-26,CE,157700,408,1165.25
2024-02-05,23000.0,2024-12-26,PE,117000,306,1193.2
2024-02-05,23000.0,2024-02-15,CE,504850,24837,5.85
2024-02-05,23000.0,2024-02-22,PE,0,0,1162.6
2024-02-05,23000.0,2024-02-08,PE,34900,180,1277.35
2024-02-05,20250.0,2024-02-08,CE,1400,12,1532.95
2024-02-05,20950.0,2024-02-29,PE,50550,1984,80.85
2024-02-05,20250.0,2024-02-15,CE,0,0,1559.15
2024-02-05,20950.0,2024-02-29,CE,5400,0,943.5
2024-02-05,23250.0,2024-02-29,CE,50100,2270,13.95
2024-02-05,22600.0,2024-02-29,CE,560900,16086,62.5
2024-02-05,22600.0,2024-04-25,PE,0,0,801.7
2024-02-05,20150.0,2024-04-25,CE,0,0,1948.1
2024-02-05,20150.0,2024-03-07,CE,0,0,1739.9
2024-02-05,23100.0,2024-03-07,CE,0,0,26.05
2024-02-05,23100.0,2024-02-22,CE,7350,211,11.45
2024-02-05,23100.0,2024-04-25,CE,1650,50,214.7
2024-02-05,23100.0,2024-02-29,CE,506550,13645,19.65
2024-02-05,23100.0,2024-02-08,PE,250,6,1369.2
2024-02-05,21400.0,2024-02-29,CE,221500,3042,571.6
2024-02-05,21400.0,2024-02-22,CE,1800,16,508.7
2024-02-05,21400.0,2024-04-25,PE,1850,0,231.9
2024-02-05,21400.0,2024-03-28,PE,89900,1323,268.25
2024-02-05,21400.0,2024-02-29,PE,598100,17334,172.1
2024-02-05,21400.0,2024-02-08,PE,2286550,762659,35.85
2024-02-05,21400.0,2024-02-15,CE,14550,477,460.65
2024-02-05,21400.0,2024-04-25,CE,0,0,917.85
2024-02-05,21400.0,2024-02-08,CE,212850,7443,370.85
2024-02-05,21400.0,2024-02-15,PE,448250,26554,95.05
2024-02-05,19900.0,2024-04-25,PE,0,0,18.1
2024-02-05,19900.0,2024-02-08,PE,381950,28521,0.7
2024-02-05,19900.0,2024-04-25,CE,0,0,2182.05
2024-02-05,19900.0,2024-02-15,PE,0,0,0.05
2024-02-05,19900.0,2024-02-22,CE,500,4,1900.0
2024-02-05,21650.0,2024-03-07,CE,0,0,453.6
2024-02-05,21650.0,2024-03-28,CE,5550,35,639.7
2024-02-05,22950.0,2024-03-07,PE,0,0,1085.45
2024-02-05,22950.0,2024-03-07,CE,50,1,57.4
2024-02-05,22950.0,2024-02-08,PE,650,0,1165.55
2024-02-05,21650.0,2024-02-29,CE,70950,1981,406.3
2024-02-05,21300.0,2024-02-22,PE,22350,1126,112.7
