Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-02-15,22350.0,2024-02-15,PE,4850,1580,21910.75
2024-02-15,21950.0,2024-02-15,CE,16730400,30087178,21910.75
2024-02-15,21950.0,2024-04-25,PE,550,12,402.3
2024-02-15,21950.0,2024-03-07,CE,4700,170,354.55
2024-02-15,22350.0,2024-03-07,CE,150,9,123.35
2024-02-15,21950.0,2024-03-14,CE,50,0,339.15
2024-02-15,22350.0,2024-03-28,PE,3700,7,511.0
2024-02-15,22350.0,2024-02-29,CE,88450,7769,90.1
2024-02-15,22350.0,2024-02-15,CE,3902150,1355272,21910.75
2024-02-15,21950.0,2024-04-25,CE,1050,1,604.95
2024-02-15,21950.0,2024-03-28,PE,12800,369,328.05
2024-02-15,22350.0,2024-03-07,PE,0,0,476.0
2024-02-15,21950.0,2024-02-29,PE,73550,11864,204.5
2024-02-15,22350.0,2024-03-14,PE,0,0,492.4
2024-02-15,22350.0,2024-03-14,CE,0,0,168.55
2024-02-15,21950.0,2024-02-29,CE,111900,20575,262.45
2024-02-15,21950.0,2024-03-28,CE,11200,157,533.45
2024-02-15,22350.0,2024-04-25,CE,250,0,405.75
2024-02-15,21950.0,2024-02-15,PE,3984750,8289148,21910.75
2024-02-15,21950.0,2024-03-07,PE,2400,94,248.45
2024-02-15,21950.0,2024-02-22,CE,943000,174579,173.75
2024-02-15,21950.0,2024-02-22,PE,694300,107139,143.7
2024-02-15,21950.0,2024-03-14,PE,250,5,287.75
2024-02-15,22350.0,2024-04-25,PE,0,0,557.5
2024-02-15,23150.0,2024-02-15,CE,155700,30021,21910.75
2024-02-15,21200.0,2024-03-07,PE,8450,326,61.3
2024-02-15,21200.0,2024-02-29,CE,128250,882,837.2
2024-02-15,21200.0,2024-04-25,PE,150,0,129.9
2024-02-15,21200.0,2024-02-22,CE,31650,807,793.35
2024-02-15,21200.0,2024-03-14,CE,0,0,870.35
2024-02-15,21200.0,2024-02-15,PE,5743350,1709119,21910.75
2024-02-15,21200.0,2024-02-15,CE,55750,1941,21910.75
2024-02-15,21200.0,2024-03-28,CE,31850,53,1071.4
2024-02-15,21400.0,2024-02-29,CE,186500,2079,659.5
2024-02-15,21400.0,2024-02-22,CE,109450,4887,593.0
2024-02-15,21400.0,2024-04-25,PE,6150,37,238.8
2024-02-15,21400.0,2024-03-28,PE,124850,2452,162.9
2024-02-15,21400.0,2024-02-29,PE,846950,32074,56.1
2024-02-15,21400.0,2024-02-15,CE,118350,11957,21910.75
2024-02-15,21400.0,2024-04-25,CE,100,0,961.95
2024-02-15,21400.0,2024-03-14,CE,0,0,705.35
2024-02-15,21400.0,2024-02-15,PE,7765750,5409782,21910.75
2024-02-15,21400.0,2024-03-28,CE,37750,74,908.1
2024-02-15,19900.0,2024-04-25,PE,0,0,9.5
