Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-01,19500.0,2025-12-24,CE,1300,0,5174.85
2024-03-01,21100.0,2024-03-28,PE,297350,13897,36.55
2024-03-01,21100.0,2024-03-07,CE,7300,23,1262.15
2024-03-01,21100.0,2024-03-14,CE,100,0,1290.3
2024-03-01,21100.0,2024-03-21,CE,0,0,1320.8
2024-03-01,21950.0,2024-04-25,PE,1450,59,262.9
2024-03-01,21950.0,2024-03-07,CE,227000,37616,451.25
2024-03-01,22350.0,2024-03-07,CE,1271950,828855,161.55
2024-03-01,21950.0,2024-03-14,CE,15750,1240,522.25
2024-03-01,22350.0,2024-03-28,PE,62650,3340,294.7
2024-03-01,21950.0,2024-04-04,PE,550,0,134.05
2024-03-01,22350.0,2024-04-04,PE,108550,1,315.0
2024-03-01,22350.0,2024-04-04,CE,109900,2,404.5
2024-03-01,21950.0,2024-04-25,CE,600,9,890.7
2024-03-01,21950.0,2024-05-30,PE,0,0,244.8
2024-03-01,21950.0,2024-03-28,PE,76650,3245,160.1
2024-03-01,22350.0,2024-03-07,PE,830700,387421,153.2
2024-03-01,22350.0,2024-03-14,PE,57400,4334,214.45
2024-03-01,21950.0,2024-03-21,CE,7050,48,556.45
2024-03-01,22350.0,2024-03-14,CE,70150,6045,251.9
2024-03-01,21950.0,2024-03-28,CE,31500,876,648.45
2024-03-01,22350.0,2024-04-25,CE,650,18,628.15
2024-03-01,22350.0,2024-03-21,PE,10200,341,261.45
2024-03-01,21950.0,2024-03-21,PE,5100,207,128.2
2024-03-01,21950.0,2024-03-07,PE,1129350,321181,45.2
2024-03-01,15000.0,2024-12-26,PE,28400,0,0.05
2024-03-01,20100.0,2024-03-07,PE,246000,37652,1.85
2024-03-01,20100.0,2024-03-14,PE,1150,0,0.05
2024-03-01,20850.0,2024-03-07,CE,3800,0,1511.85
2024-03-01,23100.0,2024-03-07,CE,2786850,701910,2.25
2024-03-01,23100.0,2024-04-25,CE,10900,437,270.8
2024-03-01,23100.0,2024-03-21,PE,0,0,727.95
2024-03-01,23100.0,2024-04-25,PE,2900,60,779.5
2024-03-01,21400.0,2024-04-25,PE,46250,637,133.05
2024-03-01,21400.0,2024-03-28,PE,475000,19684,63.05
2024-03-01,21400.0,2024-04-04,CE,0,0,1110.35
2024-03-01,21400.0,2024-04-25,CE,150,0,1226.6
2024-03-01,21400.0,2024-04-04,PE,0,0,37.45
2024-03-01,21400.0,2024-03-14,CE,350,0,995.25
2024-03-01,21400.0,2024-03-14,PE,226900,25268,23.15
2024-03-01,21400.0,2024-03-21,PE,26400,704,43.0
2024-03-01,21400.0,2024-03-28,CE,58350,119,1104.3
2024-03-01,21400.0,2024-03-07,CE,61200,413,965.55
2024-03-01,21400.0,2024-03-07,PE,2112600,263561,8.4
2024-03-01,19900.0,2024-04-25,PE,0,0,1.4
2024-03-01,19900.0,2024-04-25,CE,0,0,2641.55
2024-03-01,21300.0,2024-03-21,PE,46350,1545,34.65
2024-03-01,21300.0,2024-04-04,CE,0,0,1200.8
2024-03-01,21300.0,2024-03-07,PE,4136900,372287,6.6
2024-03-01,21300.0,2024-03-14,PE,286850,17322,18.4
2024-03-01,21300.0,2024-04-25,CE,0,0,1312.75
2024-03-01,21300.0,2024-04-04,PE,0,0,28.55
2024-03-01,21250.0,2024-04-25,CE,200,1,1356.55
2024-03-01,21250.0,2024-03-21,PE,0,0,7.95
2024-03-01,21250.0,2024-03-28,PE,31650,2182,47.65
2024-03-01,23000.0,2024-05-30,CE,28700,1003,602.1
