Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-04-08,24150.0,2024-04-25,PE,250,0,1411.4
2024-04-08,24150.0,2024-06-27,PE,50,0,1324.7
2024-04-08,20650.0,2024-04-18,PE,1500,23,0.0
2024-04-08,20650.0,2024-06-27,CE,0,0,2376.4
2024-04-08,22250.0,2024-05-02,CE,350,1,654.0
2024-04-08,22250.0,2024-04-18,CE,11100,642,498.05
2024-04-08,26000.0,2024-06-27,CE,289450,925,22.65
2024-04-08,19650.0,2024-04-25,CE,700,0,3081.3
2024-04-08,26000.0,2026-06-25,CE,0,0,2198.55
2024-04-08,26000.0,2026-06-25,PE,0,0,1657.45
2024-04-08,26000.0,2027-06-24,CE,0,0,3425.05
2024-04-08,26000.0,2025-03-27,PE,0,0,2252.65
2024-04-08,26000.0,2026-12-31,PE,0,0,1477.55
2024-04-08,26000.0,2028-12-28,CE,0,0,5218.3
2024-04-08,26000.0,2027-12-30,PE,0,0,1194.65
2024-04-08,26000.0,2026-12-31,CE,0,0,2838.25
2024-04-08,26000.0,2025-03-27,CE,0,0,688.9
2024-04-08,26000.0,2024-12-26,PE,29050,37,2426.8
2024-04-08,19650.0,2024-04-25,PE,50,0,0.0
2024-04-08,20650.0,2024-04-25,PE,7700,158,4.5
2024-04-08,20650.0,2024-06-27,PE,0,0,32.75
2024-04-08,21150.0,2024-05-09,PE,0,0,13.45
2024-04-08,21150.0,2024-04-25,PE,17200,1514,7.05
2024-04-08,21150.0,2024-06-27,CE,100,0,1924.5
2024-04-08,21150.0,2024-05-30,PE,3300,58,35.6
2024-04-08,21150.0,2024-05-02,PE,250,3,7.0
2024-04-08,21150.0,2024-04-18,PE,12800,491,3.4
2024-04-08,20400.0,2024-04-10,PE,971600,49591,1.4
2024-04-08,20400.0,2024-04-10,CE,700,0,2274.25
2024-04-08,20400.0,2024-05-02,PE,0,0,0.35
2024-04-08,20400.0,2024-04-18,PE,0,0,0.0
2024-04-08,20400.0,2024-05-30,PE,4700,79,7.15
2024-04-08,16000.0,2028-12-28,CE,0,0,11353.4
2024-04-08,16000.0,2024-06-27,PE,56000,0,0.0
2024-04-08,16000.0,2025-06-26,PE,100,0,2.7
2024-04-08,16000.0,2024-09-26,PE,0,0,0.05
2024-04-08,16000.0,2027-12-30,PE,0,0,21.1
2024-04-08,16000.0,2027-06-24,PE,0,0,18.5
2024-04-08,16000.0,2026-06-25,CE,0,0,9061.95
2024-04-08,22650.0,2024-06-27,CE,500,5,812.25
2024-04-08,22650.0,2024-04-25,CE,133050,9158,275.75
2024-04-08,22650.0,2024-04-18,CE,131150,26853,202.8
2024-04-08,22650.0,2024-05-30,PE,22600,400,280.25
2024-04-08,22650.0,2024-05-30,CE,4000,175,517.3
2024-04-08,22650.0,2024-04-18,PE,290100,27678,138.8
2024-04-08,24100.0,2024-04-25,PE,3800,8,1350.5
2024-04-08,24100.0,2024-04-25,CE,52750,1487,3.6
2024-04-08,22500.0,2024-05-09,PE,950,32,180.3
2024-04-08,22500.0,2024-06-27,PE,294300,3543,381.25
2024-04-08,22500.0,2024-05-30,PE,822700,13620,231.4
2024-04-08,23500.0,2024-05-09,PE,0,0,824.55
2024-04-08,23500.0,2024-06-27,PE,22500,244,821.55
2024-04-08,20600.0,2024-04-25,PE,92600,5139,4.05
2024-04-08,19000.0,2024-12-26,CE,75550,15,4552.85
2024-04-08,19000.0,2028-12-28,PE,0,0,110.1
2024-04-08,19000.0,2024-09-26,CE,0,0,4316.3
2024-04-08,19000.0,2027-12-30,PE,700,0,115.0
2024-04-08,19000.0,2025-12-24,CE,3150,0,5982.9
2024-04-08,19000.0,2027-12-30,CE,0,0,8303.6
2024-04-08,19000.0,2025-06-26,PE,600000,0,63.15
2024-04-08,19000.0,2028-06-29,CE,0,0,8818.7
2024-04-08,19000.0,2027-06-24,CE,100,0,7746.05
2024-04-08,19000.0,2028-06-29,PE,0,0,113.3
2024-04-08,19000.0,2025-03-27,CE,0,0,5007.2
2024-04-08,19000.0,2025-03-27,PE,0,0,47.45
2024-04-08,19000.0,2028-12-28,CE,0,0,9313.85
2024-04-08,19000.0,2024-06-27,CE,387100,214,3929.75
2024-04-08,19000.0,2024-06-27,PE,798800,2166,19.65
2024-04-08,19000.0,2026-06-25,PE,100,0,102.05
2024-04-08,19000.0,2027-06-24,PE,250,0,114.45
2024-04-08,20250.0,2024-05-30,PE,7450,4,4.85
2024-04-08,20950.0,2024-04-18,CE,300,0,1757.15
2024-04-08,20250.0,2024-04-10,PE,122100,10769,1.4
2024-04-08,22600.0,2024-04-18,CE,424500,52052,233.7
2024-04-08,23250.0,2024-05-30,CE,5850,190,211.6
2024-04-08,23250.0,2024-04-25,CE,329700,13158,43.2
2024-04-08,23250.0,2024-04-10,PE,850,13,571.1
2024-04-08,23250.0,2024-05-09,CE,0,0,203.55
2024-04-08,23250.0,2024-06-27,PE,50,0,727.65
2024-04-08,20150.0,2024-04-10,PE,117900,10557,1.3
2024-04-08,18000.0,2024-12-26,PE,309550,313,42.15
2024-04-08,21200.0,2024-05-09,CE,0,0,1612.65
2024-04-08,23900.0,2024-04-18,CE,112200,3186,1.35
2024-04-08,23900.0,2024-05-30,PE,250,1,1143.6
2024-04-08,21200.0,2024-05-09,PE,0,0,15.5
2024-04-08,23900.0,2024-04-10,PE,600,0,1224.4
2024-04-08,23900.0,2024-04-25,PE,1500,8,1171.85
2024-04-08,21200.0,2024-04-18,PE,76900,3241,3.3
2024-04-08,21200.0,2024-04-25,PE,332600,16333,7.85
2024-04-08,23900.0,2024-05-02,CE,1850,167,12.6
2024-04-08,23900.0,2024-05-30,CE,41150,630,55.15
2024-04-08,23900.0,2024-05-09,CE,0,0,65.6
2024-04-08,24150.0,2024-05-02,PE,0,0,1391.9
2024-04-08,24150.0,2024-04-18,PE,150,0,1437.6
2024-04-08,24150.0,2024-05-09,CE,0,0,39.5
2024-04-08,24150.0,2024-05-30,CE,5600,182,32.15
2024-04-08,24150.0,2024-05-09,PE,0,0,1374.1
2024-04-08,21100.0,2024-04-10,CE,4550,12,1574.55
2024-04-08,21100.0,2024-04-18,PE,13200,642,3.15
2024-04-08,21100.0,2024-06-27,PE,37700,324,101.0
2024-04-08,21100.0,2024-05-02,CE,0,0,1670.6
2024-04-08,21100.0,2024-06-27,CE,150,1,1968.45
2024-04-08,22350.0,2024-05-09,CE,0,2,646.65
2024-04-08,21950.0,2024-04-25,PE,101900,6192,35.15
2024-04-08,22350.0,2024-04-10,PE,2451000,560309,16.55
2024-04-08,22350.0,2024-05-02,CE,100,1,583.55
2024-04-08,15000.0,2024-12-26,PE,28700,0,0.05
2024-04-08,15000.0,2027-12-30,PE,350,0,10.3
2024-04-08,15000.0,2025-06-26,PE,1800,0,0.65
2024-04-08,20100.0,2024-04-18,CE,3150,0,2605.45
2024-04-08,20100.0,2024-04-10,PE,1563650,62916,1.35
2024-04-08,20100.0,2024-05-30,PE,32050,408,11.75
2024-04-08,23600.0,2024-05-02,PE,0,0,900.0
2024-04-08,23600.0,2024-04-25,PE,2600,28,856.25
