Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-03-13,15000.0,2024-12-26,PE,28400,0,0.05
2024-03-13,15000.0,2027-12-30,PE,350,0,4.55
2024-03-13,15000.0,2025-06-26,PE,1800,0,0.25
2024-03-13,23000.0,2024-05-30,CE,107850,1826,382.55
2024-03-13,23000.0,2024-03-21,CE,1140050,118717,6.8
2024-03-13,23550.0,2024-05-30,PE,0,0,1334.1
2024-03-13,23000.0,2024-04-25,CE,790300,27712,137.85
2024-03-13,23000.0,2026-12-31,PE,6200,0,599.65
2024-03-13,23000.0,2024-03-21,PE,30350,605,958.45
2024-03-13,23000.0,2028-12-28,CE,0,0,5759.5
2024-03-13,23000.0,2027-12-30,PE,0,0,490.25
2024-03-13,23000.0,2024-04-25,PE,244650,3856,873.15
2024-03-13,23550.0,2024-03-28,PE,800,0,1487.85
2024-03-13,23550.0,2024-04-10,CE,0,0,9.8
2024-03-13,23000.0,2025-06-26,CE,0,0,1710.95
2024-03-13,23000.0,2024-12-26,CE,167250,308,1253.5
2024-03-13,23000.0,2024-12-26,PE,242050,946,970.35
2024-03-13,23550.0,2024-03-21,CE,35400,3432,2.65
2024-03-13,23550.0,2024-04-04,CE,1800,2,4.2
2024-03-13,15000.0,2024-03-28,CE,22950,4,7075.0
2024-03-13,23000.0,2024-03-14,PE,76450,3334,1043.65
2024-03-13,23550.0,2024-03-21,PE,0,0,1517.5
2024-03-13,23000.0,2024-04-04,CE,139650,2865,45.5
2024-03-13,23550.0,2024-05-30,CE,0,0,119.05
2024-03-13,23550.0,2024-04-25,PE,0,0,1399.05
2024-03-13,23550.0,2024-04-25,CE,5750,124,51.6
2024-03-13,23400.0,2024-03-14,CE,1005150,320821,0.95
2024-03-13,23400.0,2024-03-21,PE,350,12,1367.75
2024-03-13,23400.0,2024-05-30,CE,0,0,145.6
2024-03-13,24250.0,2024-05-30,PE,0,0,1947.0
2024-03-13,20550.0,2024-04-25,CE,0,0,1623.3
2024-03-13,20550.0,2024-05-30,CE,0,0,1781.5
2024-03-13,24250.0,2024-03-14,PE,0,0,2247.8
2024-03-13,20550.0,2024-04-25,PE,3950,55,39.85
2024-03-13,24250.0,2024-03-21,PE,0,0,2216.45
2024-03-13,24250.0,2024-03-14,CE,801000,50596,0.8
2024-03-13,24250.0,2024-03-28,PE,0,0,2185.15
2024-03-13,20550.0,2024-03-14,CE,150,4,1451.5
2024-03-13,20550.0,2024-03-14,PE,59800,23305,0.25
2024-03-13,24250.0,2024-04-04,CE,0,0,0.2
2024-03-13,24250.0,2024-04-04,PE,0,0,2154.05
2024-03-13,20550.0,2024-03-28,PE,9950,1135,8.35
2024-03-13,20550.0,2024-03-21,PE,2550,80,3.25
2024-03-13,20550.0,2024-03-21,CE,3150,112,1478.1
2024-03-13,24250.0,2024-04-25,CE,7450,140,17.65
2024-03-13,24250.0,2024-04-10,CE,1000,16,10.8
2024-03-13,23650.0,2024-03-28,CE,24100,558,5.1
2024-03-13,13000.0,2026-06-25,PE,200,0,0.1
2024-03-13,23650.0,2024-03-28,PE,0,0,1587.25
2024-03-13,23650.0,2024-03-14,PE,0,0,1647.95
2024-03-13,23650.0,2024-03-21,PE,0,0,1617.35
2024-03-13,23650.0,2024-04-10,CE,50,1,7.1
2024-03-13,23650.0,2024-03-21,CE,20400,2868,2.5
2024-03-13,20700.0,2024-03-21,CE,1450,5,1360.0
2024-03-13,20700.0,2024-04-04,CE,0,0,1385.4
2024-03-13,20700.0,2024-05-30,CE,0,0,1646.6
2024-03-13,20700.0,2024-04-25,CE,0,0,1481.25
2024-03-13,20700.0,2024-03-28,CE,20750,62,1438.45
2024-03-13,20700.0,2024-03-28,PE,394300,25633,10.25
2024-03-13,20700.0,2024-04-25,PE,246800,2143,45.7
