Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-17,21200.0,2024-02-29,CE,32000,286,751.7
2024-01-17,21200.0,2024-02-08,CE,0,0,550.0
2024-01-17,21200.0,2024-02-08,PE,6000,486,159.95
2024-01-17,21200.0,2024-01-18,CE,45400,4439,376.25
2024-01-17,21200.0,2024-02-01,PE,108750,9396,121.4
2024-01-17,21200.0,2024-02-15,PE,0,0,115.5
2024-01-17,21100.0,2024-02-08,CE,400,9,627.5
2024-01-17,21100.0,2024-02-15,PE,0,0,91.5
2024-01-17,21100.0,2024-01-25,PE,1411700,98387,58.85
2024-01-17,21100.0,2024-03-28,PE,39950,857,249.25
2024-01-17,21100.0,2024-01-18,CE,24200,1380,475.25
2024-01-17,21350.0,2024-01-18,CE,36950,5155,235.8
2024-01-17,21350.0,2024-01-25,CE,50650,855,356.2
2024-01-17,21350.0,2024-01-25,PE,186400,51150,114.7
2024-01-17,21350.0,2024-02-15,PE,0,0,159.9
2024-01-17,21350.0,2024-03-28,PE,1350,25,256.95
2024-01-17,21350.0,2024-01-18,PE,3006350,1214962,16.95
2024-01-17,15000.0,2024-12-26,PE,28300,0,0.1
2024-01-17,23000.0,2028-12-28,CE,0,0,5553.3
2024-01-17,23000.0,2024-02-15,PE,100,0,1319.9
2024-01-17,23000.0,2027-12-30,PE,0,0,552.25
2024-01-17,23550.0,2024-03-28,PE,0,0,1719.35
2024-01-17,23000.0,2025-06-26,CE,0,0,1641.55
2024-01-17,23000.0,2024-02-29,CE,1673450,31274,68.65
2024-01-17,23550.0,2024-02-15,CE,0,0,2.45
2024-01-17,23000.0,2024-12-26,CE,158800,347,1159.2
2024-01-17,22350.0,2024-02-15,PE,0,0,741.05
2024-01-17,21950.0,2024-02-15,CE,100,0,189.85
2024-01-17,22350.0,2024-01-25,CE,416900,34208,18.2
2024-01-17,22350.0,2024-02-01,CE,25000,1240,63.85
2024-01-17,21950.0,2024-02-08,PE,3000,112,500.8
2024-01-17,22350.0,2024-03-28,PE,1350,59,758.0
2024-01-17,21950.0,2024-01-25,PE,88450,12463,431.65
2024-01-17,22350.0,2024-02-08,CE,1850,0,52.4
2024-01-17,22350.0,2024-02-29,CE,11200,343,186.75
2024-01-17,22350.0,2024-02-15,CE,850,0,82.55
2024-01-17,21950.0,2024-02-01,CE,58600,2473,156.5
2024-01-17,21950.0,2024-03-28,PE,2900,17,518.7
2024-01-17,21950.0,2024-02-29,PE,17750,684,526.85
2024-01-17,21950.0,2024-02-29,CE,10400,867,326.9
2024-01-17,21950.0,2024-03-28,CE,1350,18,513.4
2024-01-17,22350.0,2024-02-08,PE,0,0,739.7
2024-01-17,21950.0,2024-01-18,CE,4911850,2075968,5.05
2024-01-17,21550.0,2024-02-01,CE,40800,693,341.75
2024-01-17,21550.0,2024-03-28,CE,650,8,732.7
2024-01-17,21550.0,2024-02-29,CE,18000,411,528.15
2024-01-17,20100.0,2024-02-29,CE,1000,14,1642.3
2024-01-17,20100.0,2024-02-15,PE,0,0,3.8
2024-01-17,20100.0,2024-01-18,CE,2650,4,1475.65
2024-01-17,20100.0,2024-01-18,PE,205900,64239,0.3
2024-01-17,20100.0,2024-02-01,CE,0,0,1527.9
2024-01-17,20100.0,2024-02-15,CE,0,0,1583.25
2024-01-17,17350.0,2024-01-25,CE,200,0,4247.6
2024-01-17,17350.0,2024-01-25,PE,22200,208,1.5
2024-01-17,23650.0,2024-02-08,PE,250,0,1982.4
2024-01-17,23650.0,2024-03-28,CE,1850,66,40.95
