Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-02-09,19500.0,2024-02-29,PE,809400,8113,5.0
2024-02-09,19500.0,2025-12-24,CE,1300,0,4724.4
2024-02-09,19500.0,2024-02-15,PE,3956650,247342,0.7
2024-02-09,19500.0,2024-02-22,CE,0,0,2329.3
2024-02-09,21100.0,2024-02-22,CE,500,10,749.7
2024-02-09,21100.0,2024-02-15,PE,1712200,452916,11.65
2024-02-09,21100.0,2024-03-28,PE,127450,472,165.35
2024-02-09,21100.0,2024-03-07,CE,0,0,839.2
2024-02-09,21100.0,2024-03-14,CE,0,0,882.8
2024-02-09,22350.0,2024-02-15,PE,7250,86,566.75
2024-02-09,21950.0,2024-02-15,CE,1268800,624796,84.9
2024-02-09,21950.0,2024-04-25,PE,400,3,427.75
2024-02-09,21950.0,2024-03-07,CE,300,9,267.7
2024-02-09,21950.0,2024-03-14,CE,0,0,317.05
2024-02-09,22350.0,2024-03-07,CE,50,0,124.25
2024-02-09,22350.0,2024-03-28,PE,3300,2,609.4
2024-02-09,22350.0,2024-02-29,CE,68500,3679,91.0
2024-02-09,22350.0,2024-02-15,CE,1660300,384692,10.85
2024-02-09,21950.0,2024-04-25,CE,150,0,566.6
2024-02-09,21950.0,2024-03-28,PE,7300,228,426.55
2024-02-09,22350.0,2024-03-07,PE,0,0,580.45
2024-02-09,21950.0,2024-02-29,PE,41200,2802,342.25
2024-02-09,22350.0,2024-03-14,PE,0,0,591.0
2024-02-09,21950.0,2024-02-29,CE,88350,6134,230.6
2024-02-09,21950.0,2024-03-28,CE,6050,121,470.85
2024-02-09,22350.0,2024-04-25,CE,0,0,381.2
2024-02-09,20200.0,2024-03-14,PE,0,0,4.6
2024-02-09,20200.0,2024-02-29,CE,28050,32,1657.7
2024-02-09,20200.0,2024-03-28,CE,450,0,1772.65
2024-02-09,20200.0,2024-04-25,PE,0,0,29.75
2024-02-09,21400.0,2024-02-29,CE,217200,918,567.75
2024-02-09,21400.0,2024-02-22,CE,7800,501,496.75
2024-02-09,21400.0,2024-04-25,PE,3050,30,315.85
2024-02-09,21400.0,2024-03-28,PE,94600,1020,233.75
2024-02-09,21400.0,2024-02-29,PE,844900,28250,133.55
2024-02-09,21400.0,2024-02-15,CE,154450,15088,429.55
2024-02-09,21400.0,2024-04-25,CE,50,1,902.25
2024-02-09,21400.0,2024-03-14,CE,0,0,648.7
2024-02-09,21400.0,2024-03-14,PE,0,0,132.05
2024-02-09,21400.0,2024-02-15,PE,2127050,880596,38.5
2024-02-09,21400.0,2024-03-28,CE,40650,52,739.6
2024-02-09,21300.0,2024-02-22,PE,117700,12828,67.4
2024-02-09,21300.0,2024-02-15,CE,134250,7450,519.1
2024-02-09,21300.0,2024-03-07,PE,850,27,135.6
2024-02-09,21300.0,2024-03-14,PE,1850,38,107.1
2024-02-09,21300.0,2024-04-25,CE,0,0,972.8
2024-02-09,21300.0,2024-02-29,CE,178300,938,643.4
2024-02-09,19750.0,2024-02-22,CE,0,0,2079.9
2024-02-09,19750.0,2024-02-15,CE,50,0,2054.4
2024-02-09,21250.0,2024-04-25,CE,0,0,1009.1
2024-02-09,21250.0,2024-02-15,PE,570050,278601,21.1
2024-02-09,21250.0,2024-03-28,CE,1900,2,849.5
2024-02-09,23650.0,2024-03-28,CE,4750,34,22.8
2024-02-09,13000.0,2026-06-25,PE,200,0,0.15
2024-02-09,23650.0,2024-03-28,PE,0,0,1681.3
2024-02-09,23650.0,2024-02-15,CE,158850,6674,0.8
2024-02-09,13000.0,2026-12-31,PE,200,0,0.35
2024-02-09,23650.0,2024-03-07,CE,100,0,3.05
2024-02-09,23650.0,2024-02-22,CE,3300,109,2.6
2024-02-09,23650.0,2024-02-29,PE,950,1,1780.95
2024-02-09,23650.0,2024-02-15,PE,0,0,1841.25
2024-02-09,23650.0,2024-03-07,PE,0,0,1752.75
2024-02-09,23650.0,2024-02-22,PE,0,0,1810.75
2024-02-09,23650.0,2024-04-25,CE,600,12,72.8
2024-02-09,23650.0,2024-02-29,CE,19950,369,5.3
2024-02-09,19100.0,2024-02-29,CE,2550,0,2753.0
2024-02-09,19100.0,2024-02-29,PE,0,0,0.05
