Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice
2024-01-09,22350.0,2024-01-11,CE,950750,171140,1.35
2024-01-09,22350.0,2024-01-25,CE,136950,8008,22.55
2024-01-09,22350.0,2024-02-01,CE,3250,38,55.1
2024-01-09,21950.0,2024-02-08,PE,0,0,465.85
2024-01-09,22350.0,2024-03-28,PE,100,0,771.4
2024-01-09,21950.0,2024-01-25,PE,40500,1351,419.2
2024-01-09,22350.0,2024-02-08,CE,0,0,78.6
2024-01-09,21950.0,2024-01-11,PE,118450,13510,399.7
2024-01-09,22350.0,2024-02-29,CE,3700,53,161.1
2024-01-09,21950.0,2024-02-01,CE,2900,5,152.5
2024-01-09,21950.0,2024-03-28,PE,1350,3,554.1
2024-01-09,21950.0,2024-02-29,PE,7300,1,498.45
2024-01-09,22350.0,2024-01-11,PE,7450,164,816.45
2024-01-09,21950.0,2024-02-29,CE,7150,47,312.15
2024-01-09,21200.0,2024-02-29,CE,31050,88,758.1
2024-01-09,21200.0,2024-02-08,CE,0,0,584.25
2024-01-09,21200.0,2024-01-11,CE,116600,6388,354.3
2024-01-09,21200.0,2024-02-08,PE,0,0,122.15
2024-01-09,21200.0,2024-01-18,CE,24850,866,428.55
2024-01-09,21200.0,2024-02-01,PE,9350,346,127.8
2024-01-09,19500.0,2024-02-29,PE,375000,1203,20.1
2024-01-09,19500.0,2025-12-24,CE,1250,0,4592.2
2024-01-09,18750.0,2024-01-25,CE,550,0,2850.25
2024-01-09,18000.0,2027-12-30,CE,0,0,7835.1
2024-01-09,21100.0,2024-02-08,CE,0,0,658.65
2024-01-09,21100.0,2024-01-11,CE,78500,1585,456.45
2024-01-09,20700.0,2024-03-28,PE,40300,399,164.0
2024-01-09,20700.0,2024-03-28,CE,150,0,1252.05
2024-01-09,20700.0,2024-01-25,PE,676350,20166,26.65
2024-01-09,20700.0,2024-02-29,PE,137650,2930,102.1
2024-01-09,20700.0,2024-01-25,CE,73150,83,940.6
2024-01-09,20700.0,2024-01-18,CE,350,0,881.4
2024-01-09,20700.0,2024-02-01,PE,21850,453,48.3
2024-01-09,20700.0,2024-01-11,PE,1703150,182989,0.85
2024-01-09,20700.0,2024-02-29,CE,2050,2,1107.4
2024-01-09,20950.0,2024-01-25,CE,6500,0,686.6
2024-01-09,20250.0,2024-01-11,CE,0,0,1302.35
2024-01-09,20250.0,2024-02-01,CE,0,0,1384.3
2024-01-09,20950.0,2024-01-25,PE,150750,5311,49.3
2024-01-09,20950.0,2024-02-08,CE,0,0,777.8
