Date,CE_M1_D1,CE_M1_D2,CE_M1_D3,CE_M1_D4,CE_M2_D1,CE_M2_D2,CE_M2_D3,CE_M2_D4,CE_M3_D1,CE_M3_D2,CE_M3_D3,CE_M3_D4,CE_M4_D1,CE_M4_D2,CE_M4_D3,CE_M4_D4,CE_M5_D1,CE_M5_D2,CE_M5_D3,CE_M5_D4,PE_M1_D1,PE_M1_D2,PE_M1_D3,PE_M1_D4,PE_M2_D1,PE_M2_D2,PE_M2_D3,PE_M2_D4,PE_M3_D1,PE_M3_D2,PE_M3_D3,PE_M3_D4,PE_M4_D1,PE_M4_D2,PE_M4_D3,PE_M4_D4,PE_M5_D1,PE_M5_D2,PE_M5_D3,PE_M5_D4,Spot,VIX
2024-04-04,0.2093301375015656,0.1541107129961779,0.1534353655345233,0.1522426798393616,0.1497784180057656,0.128771792604727,0.1298435083523491,0.1491837902228197,0.1166117862573535,0.1124242782269453,0.1142905029133389,0.1283495273312048,0.107662910970941,0.0997214838648283,0.1037340512700668,0.146331904299947,0.1297920091744228,0.1013085094090841,0.0994342302724421,0.1461081108685409,0.1604298926011795,0.1310155137687882,0.129217646463113,0.1326922887731088,0.1249089495032958,0.1149744544771021,0.1162088131312668,0.1431543219624244,0.1050799810156503,0.1030545349132209,0.1063131364126843,0.1089811851828757,0.0852210869081121,0.0944408773690444,0.0949714917107281,0.1416663943424978,0.10861712797459275,0.13849149554368162,0.08176027120186616,0.1396021429370961,22514.650390625,11.220000267028809
2024-04-05,0.1602190790458281,0.1539324093845752,0.1504639400466234,0.1517966578448037,0.1306230747282345,0.1205549819174359,0.1223839325370639,0.1481242664786915,0.1102952504479614,0.1049926858519905,0.1110810509383193,0.1233561755278526,0.1023475492287733,0.0949387238059949,0.1025935530785218,0.1458344737892456,0.1337686178193648,0.099625841992501,0.0981096538845851,0.1456405466134314,0.1692265592259922,0.135539256793337,0.1327503225929957,0.1434190646269271,0.1328045985578107,0.1183565219659209,0.1210181288708706,0.1211933343329306,0.1123791767369863,0.1058754414626268,0.1097802388831968,0.1126512836298836,0.10471654414160339,0.0997645873868508,0.1000271003089691,0.1413514575502499,0.1581183685259745,0.1364559981657456,0.1366053481085747,0.1392277372310766,22513.69921875,11.34000015258789
2024-04-08,0.2849151769778648,0.1571937814938536,0.1553122959802043,0.1515366758763226,0.2017757412139605,0.1328007597790534,0.1378271634072078,0.1475987349514316,0.1393285980211603,0.1157504564396036,0.1185411936491457,0.1287294816099056,0.1244326216973659,0.1071385421486594,0.1049222976690355,0.1456369542605952,0.1992391488891498,0.1151555437175087,0.1056308153806631,0.1455215263672134,0.2612366090842368,0.1508457126438376,0.1412125978639862,0.1435057493130959,0.1845659935467353,0.1283119638256734,0.1265859105435862,0.1264697354629592,0.1334153120324623,0.110756041255618,0.1106820831441081,0.1117502591367828,0.0951168565622387,0.1013083723844409,0.0956975538525971,0.1415557448172175,0.1581183685259745,0.13368615912589948,0.1366293195514069,0.1394341516028469,22666.30078125,11.609999656677246
2024-04-09,0.3709908976832736,0.1622449693631025,0.1561122712410609,0.1509668926435,0.3043999061210729,0.1439067331971513,0.1423853477074265,0.1478196636413611,0.148983496800477,0.1152563156295649,0.1186938964461272,0.1307788895120999,0.1742094467068666,0.1042801765718194,0.1031609104146266,0.1194881900048058,0.2868532963490166,0.1128034260039016,0.1041164731067396,0.1119054561465898,0.3210046041329435,0.1429628835844674,0.1358144471657207,0.1431149176931816,0.2010160096731688,0.1177060983266111,0.1188320523495075,0.1167529424288337,0.1284932380632272,0.0987513680222607,0.1024991156176474,0.1028853797717991,0.0951168565622387,0.0813888872940468,0.081520689397345,0.1408277310520512,0.1581183685259745,0.13268008264978354,0.13712891066707128,0.1387515298972623,22642.75,11.359999656677246
2024-04-10,0.3709908976832736,0.1614221659049239,0.1278697539945125,0.15060719726035515,0.3043999061210729,0.0852622911037968,0.1134044319763278,0.14735777165392724,0.148983496800477,0.090305697422224,0.1029677480838493,0.1164277110279131,0.1742094467068666,0.0875792938081974,0.0921040566389767,0.1275819470762084,0.2868532963490166,0.1079606896862776,0.098931277768518,0.14487469254960525,0.3210046041329435,0.1418745313216074,0.1345672996432364,0.14283945273239404,0.2010160096731688,0.1169700159497436,0.1182906106064134,0.12177416446824604,0.1284932380632272,0.1045593477808492,0.1048296232568267,0.1105576355043485,0.0951168565622387,0.1149667826359178,0.0967680033934671,0.14090299279759544,0.1581183685259745,0.1338071479643797,0.1126214546988311,0.1389396900628374,22753.80078125,11.109999656677246
2024-04-12,0.2169534783448703,0.1796750451555021,0.1516611647688024,0.151138706982793,0.151361825295792,0.1482431936397706,0.1485973525229501,0.1481578073628115,0.1172516559484243,0.1250154557427938,0.1332034670737112,0.1462154253358361,0.1053620554192041,0.1077875561482375,0.1163647980499379,0.1454554638337904,0.132199567756989,0.1095672866631445,0.112822735251288,0.1452786547055793,0.1540306953035136,0.1396911801645065,0.1319808512667428,0.1317989129630615,0.1145945059570866,0.122544279847194,0.1179544466356575,0.1427472696638676,0.0954617122293642,0.1053861757389307,0.1029013524563686,0.1084048570754752,0.07437439601466955,0.08449360737684115,0.0873056006623288,0.1411046497033596,0.1302045979328114,0.1354586578728481,0.1389346061132713,0.1392911078852966,22519.400390625,11.529999732971191
2024-04-15,0.3219065604108995,0.2137942404656848,0.1515317624040034,0.1509148115566537,0.24705627837619945,0.18032826807642055,0.14830505970162317,0.1479232971451098,0.1573643016835409,0.1483682336389651,0.1509073979253953,0.146800163665132,0.1417854508620666,0.1256558292196477,0.1303280613870031,0.1349508256904726,0.1927842371997071,0.1263870337325848,0.1242570443306767,0.1455089921811331,0.2209285991287536,0.1660918028245153,0.1441267517807419,0.1437761808428739,0.15995035895596105,0.13782732771137607,0.12785327423405168,0.12759195709589916,0.1165836103332088,0.1154030037707273,0.1100452355261607,0.1129827109931274,0.0596661339471212,0.0883416817283288,0.0850945535467247,0.1002111031565795,0.1302045979328114,0.1331597651869541,0.13893636052757669,0.1398163536872727,22272.5,12.470000267028809
2024-04-16,0.27168509587517103,0.1802182725443609,0.1515595838612519,0.1507586753154657,0.1852855055477468,0.1505309127627948,0.1555501732588619,0.1475695826198641,0.1236661267979446,0.1318750961207679,0.1404473037953694,0.1454657761576248,0.1336913080941258,0.120209658784777,0.1241906734453813,0.1305642161686282,0.2114581894769041,0.1327624703444623,0.1251132807002463,0.1453042261842693,0.2312847955311543,0.163859887725391,0.148066400153751,0.1437861461674363,0.1680519335745969,0.1378167440769753,0.1316301069860689,0.1320765875600272,0.1187524546248014,0.120280438116718,0.1129717331245269,0.1199623172001363,0.1199277974293307,0.1045232916451576,0.09694925940203389,0.1413212122456642,0.2739210228276629,0.1376716040313722,0.1384051250242648,0.1397855174684542,22147.900390625,12.619999885559082
2024-04-18,0.2452828635137953,0.1554872282644483,0.15073459041848,0.1503799417585968,0.2010717419608347,0.1741115846175074,0.1476300169213708,0.1477898039277066,0.1516096923694072,0.1599351043634287,0.1464486070895851,0.146607851119155,0.1332602921703992,0.1395708765792301,0.1421126748307276,0.143649071235038,0.1384676787488005,0.13263373858371558,0.1406600409390677,0.14538049455445007,0.1798538768374713,0.155780764165516,0.1437696629668373,0.1436123587607553,0.1480702921137478,0.1354626282674816,0.1321781344037277,0.1430760363778409,0.1204601956426807,0.1152802135922838,0.1163046899223362,0.1283222738464992,0.0921132947357874,0.08419737676218514,0.1411447935700958,0.1412366074172772,0.2739210228276629,0.1376621294977389,0.1395786726959122,0.1400646872316943,21995.849609375,13.039999961853027
2024-04-19,0.1805239417788659,0.1532931880395493,0.1507884183044646,0.1503619752914345,0.1184179145195194,0.1507729064458851,0.1475520415408653,0.1477283856121961,0.1221247529830965,0.1357920725261868,0.1324513614046377,0.1336736258648979,0.1125081636811946,0.1169161666099489,0.1203024498024148,0.1229809688211293,0.1325214807018395,0.1153259651776615,0.1328754674222658,0.1452782531640817,0.2188120355055863,0.1797559622923495,0.164753283645171,0.1435664221169247,0.1820975154763105,0.1573447715021778,0.1510755025425459,0.1455142205012281,0.1579480561640082,0.1366474252034994,0.1364720931969477,0.1395278455668179,0.1731174772165835,0.1190921188094203,0.1412408870142432,0.1414254317490196,0.2585151971142634,0.1369962977946499,0.1393452048264661,0.1397448256041618,22147.0,13.460000038146973
