Date,Strike,Expiry,OptionType,OI,Volume,SettlementPrice,Spot,VIX,DTE,Moneyness,ExpiryRank
2024-01-01,22000.0,2024-01-25,PE,1473000,39541,356.45,21741.900390625,14.579999923706056,24,1.0118710694436945,4.0
2024-01-01,22000.0,2024-01-11,PE,222950,13711,268.5,21741.900390625,14.579999923706056,10,1.0118710694436945,2.0
2024-01-01,21450.0,2024-01-04,CE,64450,5763,358.35,21741.900390625,14.579999923706056,3,0.9865742927076022,1.0
2024-01-01,22700.0,2024-01-11,PE,0,0,919.75,21741.900390625,14.579999923706056,10,1.0440669671078122,2.0
2024-01-01,22700.0,2024-01-18,PE,0,0,903.9,21741.900390625,14.579999923706056,17,1.0440669671078122,3.0
2024-01-01,21750.0,2024-01-04,PE,2577150,2076326,82.15,21741.900390625,14.579999923706056,3,1.0003725345636527,1.0
2024-01-01,21700.0,2024-01-04,CE,4116000,2455104,162.65,21741.900390625,14.579999923706056,3,0.9980728275876443,1.0
2024-01-01,21700.0,2024-01-25,PE,1379250,62544,230.9,21741.900390625,14.579999923706056,24,0.9980728275876443,4.0
2024-01-01,21850.0,2024-01-25,PE,51850,4755,283.15,21741.900390625,14.579999923706056,24,1.0049719485156694,4.0
2024-01-01,21850.0,2024-01-18,PE,4000,231,238.35,21741.900390625,14.579999923706056,17,1.0049719485156694,3.0
2024-01-01,21850.0,2024-01-25,CE,61000,5431,346.75,21741.900390625,14.579999923706056,24,1.0049719485156694,4.0
2024-01-01,21450.0,2024-01-11,CE,11900,311,452.4,21741.900390625,14.579999923706056,10,0.9865742927076022,2.0
2024-01-01,21450.0,2024-01-18,CE,2100,5,504.0,21741.900390625,14.579999923706056,17,0.9865742927076022,3.0
2024-01-01,21450.0,2024-01-25,PE,88200,2073,152.05,21741.900390625,14.579999923706056,24,0.9865742927076022,4.0
2024-01-01,22700.0,2024-01-04,PE,850,4,914.95,21741.900390625,14.579999923706056,3,1.0440669671078122,1.0
2024-01-01,22000.0,2024-01-25,CE,2666400,67995,262.8,21741.900390625,14.579999923706056,24,1.0118710694436945,4.0
2024-01-01,22050.0,2024-01-11,CE,113550,10018,103.35,21741.900390625,14.579999923706056,10,1.014170776419703,2.0
2024-01-01,21850.0,2024-01-04,PE,1786800,724319,119.55,21741.900390625,14.579999923706056,3,1.0049719485156694,1.0
2024-01-01,21750.0,2024-01-25,CE,89550,6789,396.6,21741.900390625,14.579999923706056,24,1.0003725345636527,4.0
2024-01-01,21750.0,2024-01-25,PE,149950,8457,246.55,21741.900390625,14.579999923706056,24,1.0003725345636527,4.0
2024-01-01,21750.0,2024-01-18,PE,9800,1157,196.55,21741.900390625,14.579999923706056,17,1.0003725345636527,3.0
2024-01-01,20850.0,2024-01-25,CE,11650,6,1090.4,21741.900390625,14.579999923706056,24,0.9589778089955014,4.0
2024-01-01,22450.0,2024-01-25,PE,18450,2,603.0,21741.900390625,14.579999923706056,24,1.0325684322277702,4.0
2024-01-01,22450.0,2024-01-11,PE,0,0,680.3,21741.900390625,14.579999923706056,10,1.0325684322277702,2.0
2024-01-01,21750.0,2024-01-11,PE,200000,23348,157.75,21741.900390625,14.579999923706056,10,1.0003725345636527,2.0
2024-01-01,21550.0,2024-01-04,CE,190100,51848,265.45,21741.900390625,14.579999923706056,3,0.991173706659619,1.0
2024-01-01,21500.0,2024-01-11,PE,778000,52533,80.7,21741.900390625,14.579999923706056,10,0.9888739996836107,2.0
2024-01-01,22300.0,2024-01-04,PE,48850,1279,497.75,21741.900390625,14.579999923706056,3,1.025669311299745,1.0
2024-01-01,22200.0,2024-01-11,PE,62500,896,404.75,21741.900390625,14.579999923706056,10,1.0210698973477281,2.0
2024-01-01,22650.0,2024-01-11,CE,131500,10028,7.15,21741.900390625,14.579999923706056,10,1.0417672601318038,2.0
2024-01-01,21600.0,2024-01-11,CE,91350,10805,317.45,21741.900390625,14.579999923706056,10,0.9934734136356275,2.0
2024-01-01,22450.0,2024-01-18,CE,12750,548,54.95,21741.900390625,14.579999923706056,17,1.0325684322277702,3.0
2024-01-01,22450.0,2024-01-11,CE,134200,14505,19.25,21741.900390625,14.579999923706056,10,1.0325684322277702,2.0
2024-01-01,21000.0,2024-01-25,CE,1110300,4828,971.4,21741.900390625,14.579999923706056,24,0.9658769299235267,4.0
2024-01-01,21600.0,2024-01-25,PE,1061500,28462,195.7,21741.900390625,14.579999923706056,24,0.9934734136356275,4.0
2024-01-01,21250.0,2024-01-18,PE,6900,136,79.0,21741.900390625,14.579999923706056,17,0.9773754648035686,3.0
2024-01-01,22450.0,2024-01-04,CE,1337000,309267,2.65,21741.900390625,14.579999923706056,3,1.0325684322277702,1.0
2024-01-01,22100.0,2024-01-25,CE,562850,12407,217.1,21741.900390625,14.579999923706056,24,1.0164704833957114,4.0
2024-01-01,22300.0,2024-01-04,CE,4536750,963389,5.3,21741.900390625,14.579999923706056,3,1.025669311299745,1.0
2024-01-01,22200.0,2024-01-18,CE,33000,1234,113.35,21741.900390625,14.579999923706056,17,1.0210698973477281,3.0
2024-01-01,22800.0,2024-01-25,CE,544450,21960,40.5,21741.900390625,14.579999923706056,24,1.048666381059829,4.0
2024-01-01,22000.0,2024-01-18,PE,9500,912,316.0,21741.900390625,14.579999923706056,17,1.0118710694436945,3.0
2024-01-01,21800.0,2024-01-11,CE,663250,63352,211.95,21741.900390625,14.579999923706056,10,1.002672241539661,2.0
2024-01-01,21800.0,2024-01-25,CE,889200,58216,367.75,21741.900390625,14.579999923706056,24,1.002672241539661,4.0
2024-01-01,22750.0,2024-01-25,CE,86750,2647,45.25,21741.900390625,14.579999923706056,24,1.0463666740838204,4.0
2024-01-01,21900.0,2024-01-25,CE,571250,33115,309.85,21741.900390625,14.579999923706056,24,1.0072716554916779,4.0
2024-01-01,21850.0,2024-01-18,CE,9050,342,275.1,21741.900390625,14.579999923706056,17,1.0049719485156694,3.0
2024-01-01,21850.0,2024-01-11,PE,63400,11294,190.95,21741.900390625,14.579999923706056,10,1.0049719485156694,2.0
2024-01-01,21550.0,2024-01-25,CE,19750,633,534.05,21741.900390625,14.579999923706056,24,0.991173706659619,4.0
2024-01-01,21200.0,2024-01-25,CE,390650,2745,823.3,21741.900390625,14.579999923706056,24,0.9750757578275603,4.0
2024-01-01,21200.0,2024-01-04,PE,2683850,500704,6.6,21741.900390625,14.579999923706056,3,0.9750757578275603,1.0
2024-01-01,21200.0,2024-01-04,CE,200700,1442,590.85,21741.900390625,14.579999923706056,3,0.9750757578275603,1.0
2024-01-01,21200.0,2024-01-25,PE,1043650,18262,100.45,21741.900390625,14.579999923706056,24,0.9750757578275603,4.0
2024-01-01,20800.0,2024-01-04,PE,2933450,353751,2.1,21741.900390625,14.579999923706056,3,0.9566781020194931,1.0
2024-01-01,20850.0,2024-01-11,PE,78750,4674,13.6,21741.900390625,14.579999923706056,10,0.9589778089955014,2.0
2024-01-01,20850.0,2024-01-18,CE,0,0,967.8,21741.900390625,14.579999923706056,17,0.9589778089955014,3.0
2024-01-01,21600.0,2024-01-11,PE,415800,33670,106.15,21741.900390625,14.579999923706056,10,0.9934734136356275,2.0
2024-01-01,20800.0,2024-01-18,PE,63600,2248,30.95,21741.900390625,14.579999923706056,17,0.9566781020194931,3.0
2024-01-01,20900.0,2024-01-04,PE,2538200,415287,2.6,21741.900390625,14.579999923706056,3,0.9612775159715099,1.0
2024-01-01,20950.0,2024-01-18,PE,3300,99,41.75,21741.900390625,14.579999923706056,17,0.9635772229475182,3.0
2024-01-01,20950.0,2024-01-04,CE,8000,67,855.45,21741.900390625,14.579999923706056,3,0.9635772229475182,1.0
2024-01-01,21900.0,2024-01-18,CE,17450,1361,241.3,21741.900390625,14.579999923706056,17,1.0072716554916779,3.0
2024-01-01,22550.0,2024-01-18,PE,0,0,766.65,21741.900390625,14.579999923706056,17,1.0371678461797869,3.0
2024-01-01,22550.0,2024-01-25,PE,11950,42,702.1,21741.900390625,14.579999923706056,24,1.0371678461797869,4.0
2024-01-01,22800.0,2024-01-11,CE,169400,12346,4.0,21741.900390625,14.579999923706056,10,1.048666381059829,2.0
2024-01-01,22550.0,2024-01-04,CE,1698900,352766,2.0,21741.900390625,14.579999923706056,3,1.0371678461797869,1.0
2024-01-01,20850.0,2024-01-25,PE,88450,3415,57.1,21741.900390625,14.579999923706056,24,0.9589778089955014,4.0
2024-01-01,21900.0,2024-01-25,PE,524250,28476,309.25,21741.900390625,14.579999923706056,24,1.0072716554916779,4.0
2024-01-01,22200.0,2024-01-25,CE,719300,21581,178.0,21741.900390625,14.579999923706056,24,1.0210698973477281,4.0
2024-01-01,21450.0,2024-01-18,PE,6400,114,120.0,21741.900390625,14.579999923706056,17,0.9865742927076022,3.0
2024-01-01,22700.0,2024-01-04,CE,2700400,279170,1.7,21741.900390625,14.579999923706056,3,1.0440669671078122,1.0
2024-01-01,22700.0,2024-01-25,PE,10800,173,820.35,21741.900390625,14.579999923706056,24,1.0440669671078122,4.0
2024-01-01,22650.0,2024-01-04,PE,0,0,895.55,21741.900390625,14.579999923706056,3,1.0417672601318038,1.0
2024-01-01,22150.0,2024-01-18,PE,100,4,411.3,21741.900390625,14.579999923706056,17,1.0187701903717197,3.0
2024-01-01,22150.0,2024-01-11,PE,7150,353,379.2,21741.900390625,14.579999923706056,10,1.0187701903717197,2.0
2024-01-01,22150.0,2024-01-04,CE,1555050,791275,13.35,21741.900390625,14.579999923706056,3,1.0187701903717197,1.0
